timestamp,fastq,mode,size,force_frac,rep,n_reads,n_alignments,map_rate,accuracy_median,delta_vs_fast,delta_vs_hac,real_s,pct_hac,reference
2026-07-31T06:58:37.200766+00:00,output_cascade_1k_frac050_r01.fastq,cascade,1k,0.05,01,1000,1049,104.9%,0.940043,-0.000729,-0.036809,12.694,5.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:58:42.206413+00:00,output_cascade_1k_frac050_r02.fastq,cascade,1k,0.05,02,1000,1049,104.9%,0.940043,-0.000729,-0.036809,12.736,5.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:58:47.249300+00:00,output_cascade_1k_frac050_r03.fastq,cascade,1k,0.05,03,1000,1049,104.9%,0.940043,-0.000729,-0.036809,12.961,5.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:58:52.328698+00:00,output_cascade_1k_frac100_r01.fastq,cascade,1k,0.1,01,1000,1069,106.9%,0.939056,-0.001716,-0.037796,15.411,10.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:58:57.403420+00:00,output_cascade_1k_frac100_r02.fastq,cascade,1k,0.1,02,1000,1069,106.9%,0.939056,-0.001716,-0.037796,15.328,10.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:02.434799+00:00,output_cascade_1k_frac100_r03.fastq,cascade,1k,0.1,03,1000,1069,106.9%,0.939056,-0.001716,-0.037796,15.376,10.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:07.474418+00:00,output_cascade_1k_frac150_r01.fastq,cascade,1k,0.15,01,1000,1083,108.3%,0.938679,-0.002093,-0.038173,17.411,15.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:12.545495+00:00,output_cascade_1k_frac150_r02.fastq,cascade,1k,0.15,02,1000,1083,108.3%,0.938679,-0.002093,-0.038173,17.421,15.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:17.593155+00:00,output_cascade_1k_frac150_r03.fastq,cascade,1k,0.15,03,1000,1083,108.3%,0.938679,-0.002093,-0.038173,17.476,15.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:22.603888+00:00,output_cascade_1k_frac170_r01.fastq,cascade,1k,0.17,01,1000,1090,109.0%,0.938376,-0.002396,-0.038476,18.491,17.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:27.678426+00:00,output_cascade_1k_frac170_r02.fastq,cascade,1k,0.17,02,1000,1090,109.0%,0.938376,-0.002396,-0.038476,18.641,17.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:32.720942+00:00,output_cascade_1k_frac170_r03.fastq,cascade,1k,0.17,03,1000,1090,109.0%,0.938376,-0.002396,-0.038476,18.516,17.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:37.787215+00:00,output_cascade_1k_frac200_r01.fastq,cascade,1k,0.2,01,1000,1096,109.6%,0.938246,-0.002526,-0.038606,19.68,20.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:42.779780+00:00,output_cascade_1k_frac200_r02.fastq,cascade,1k,0.2,02,1000,1096,109.6%,0.938246,-0.002526,-0.038606,19.81,20.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:47.806249+00:00,output_cascade_1k_frac200_r03.fastq,cascade,1k,0.2,03,1000,1096,109.6%,0.938246,-0.002526,-0.038606,19.659,20.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:52.847005+00:00,output_cascade_1k_frac250_r01.fastq,cascade,1k,0.25,01,1000,1100,110.0%,0.939231,-0.001541,-0.037621,21.62,25.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T06:59:57.849697+00:00,output_cascade_1k_frac250_r02.fastq,cascade,1k,0.25,02,1000,1100,110.0%,0.939231,-0.001541,-0.037621,21.741,25.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:02.859341+00:00,output_cascade_1k_frac250_r03.fastq,cascade,1k,0.25,03,1000,1100,110.0%,0.939231,-0.001541,-0.037621,21.639,25.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:07.897806+00:00,output_cascade_1k_frac300_r01.fastq,cascade,1k,0.3,01,1000,1102,110.2%,0.942532,+0.001760,-0.034319,23.494,30.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:12.927510+00:00,output_cascade_1k_frac300_r02.fastq,cascade,1k,0.3,02,1000,1102,110.2%,0.942532,+0.001760,-0.034319,23.522,30.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:18.000333+00:00,output_cascade_1k_frac300_r03.fastq,cascade,1k,0.3,03,1000,1102,110.2%,0.942532,+0.001760,-0.034319,23.476,30.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:23.393740+00:00,output_cascade_1k_frac400_r01.fastq,cascade,1k,0.4,01,1000,1103,110.3%,0.947368,+0.006596,-0.029483,29.037,40.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:28.822583+00:00,output_cascade_1k_frac400_r02.fastq,cascade,1k,0.4,02,1000,1103,110.3%,0.947368,+0.006596,-0.029483,28.947,40.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:34.268892+00:00,output_cascade_1k_frac400_r03.fastq,cascade,1k,0.4,03,1000,1103,110.3%,0.947368,+0.006596,-0.029483,29.03,40.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:39.682323+00:00,output_cascade_1k_frac500_r01.fastq,cascade,1k,0.5,01,1000,1105,110.5%,0.950625,+0.009853,-0.026227,32.878,50.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:45.096905+00:00,output_cascade_1k_frac500_r02.fastq,cascade,1k,0.5,02,1000,1105,110.5%,0.950625,+0.009853,-0.026227,32.788,50.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:00:50.544762+00:00,output_cascade_1k_frac500_r03.fastq,cascade,1k,0.5,03,1000,1105,110.5%,0.950625,+0.009853,-0.026227,32.898,50.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:01:01.452087+00:00,output_cascade_20k_frac050_r01.fastq,cascade,20k,0.05,01,20000,21070,105.3%,0.938622,-0.002150,-0.038230,232.28,5.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:01:12.581492+00:00,output_cascade_20k_frac100_r01.fastq,cascade,20k,0.1,01,20000,21491,107.5%,0.937716,-0.003056,-0.039136,277.653,10.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:01:22.632111+00:00,output_cascade_20k_frac150_r01.fastq,cascade,20k,0.15,01,16384,17909,109.3%,0.937153,-0.003619,-0.039699,,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:01:33.509077+00:00,output_cascade_20k_frac170_r01.fastq,cascade,20k,0.17,01,20000,21938,109.7%,0.936623,-0.004149,-0.040229,345.227,17.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:01:43.626275+00:00,output_cascade_20k_frac200_r01.fastq,cascade,20k,0.2,01,16384,18131,110.7%,0.936615,-0.004157,-0.040236,,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:01:54.490217+00:00,output_cascade_20k_frac250_r01.fastq,cascade,20k,0.25,01,20000,22172,110.9%,0.937453,-0.003319,-0.039399,415.9,25.0,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:02:03.832815+00:00,output_cascade_20k_frac300_r01.fastq,cascade,20k,0.3,01,12288,13635,111.0%,0.940341,-0.000431,-0.036511,,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-31T07:02:14.360403+00:00,output_cascade_20k_frac400_r01.fastq,cascade,20k,0.4,01,16384,18247,111.4%,0.945602,+0.004830,-0.031250,,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
