stamp,mode,size,force_frac,rep,tag,real_s,cpu_s,proc_s,peak_ram_gb,wall_s,kept_fast,promoted_hac,pct_hac,fastq,cascade_tsv,console,exit_code
20260731T053635Z,fast,1k,,1,fast_1k_baseline,9.801,4.06,9.499,2.551,10.882,,,,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_fast_1k_baseline.fastq,,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/fast_1k_baseline.txt,0
20260731T053635Z,hac,1k,,1,hac_1k_baseline,49.187,47.259,48.709,3.075,50.341,,,,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_hac_1k_baseline.fastq,,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/hac_1k_baseline.txt,0
20260731T053635Z,cascade,1k,0.05,1,cascade_1k_frac050_r01,12.694,6.918,12.416,3.127,13.718,950,50,5.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac050_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac050_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac050_r01.txt,0
20260731T053635Z,cascade,1k,0.05,2,cascade_1k_frac050_r02,12.736,6.873,12.463,3.127,13.737,950,50,5.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac050_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac050_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac050_r02.txt,0
20260731T053635Z,cascade,1k,0.05,3,cascade_1k_frac050_r03,12.961,7.093,12.677,3.132,14.007,950,50,5.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac050_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac050_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac050_r03.txt,0
20260731T053635Z,cascade,1k,0.1,1,cascade_1k_frac100_r01,15.411,9.271,15.13,3.128,16.427,900,100,10.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac100_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac100_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac100_r01.txt,0
20260731T053635Z,cascade,1k,0.1,2,cascade_1k_frac100_r02,15.328,9.364,15.05,3.129,16.349,900,100,10.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac100_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac100_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac100_r02.txt,0
20260731T053635Z,cascade,1k,0.1,3,cascade_1k_frac100_r03,15.376,9.332,15.096,3.132,16.411,900,100,10.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac100_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac100_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac100_r03.txt,0
20260731T053635Z,cascade,1k,0.15,1,cascade_1k_frac150_r01,17.411,11.244,17.139,3.135,18.441,850,150,15.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac150_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac150_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac150_r01.txt,0
20260731T053635Z,cascade,1k,0.15,2,cascade_1k_frac150_r02,17.421,11.302,17.133,3.131,18.442,850,150,15.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac150_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac150_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac150_r02.txt,0
20260731T053635Z,cascade,1k,0.15,3,cascade_1k_frac150_r03,17.476,11.318,17.196,3.13,18.511,850,150,15.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac150_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac150_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac150_r03.txt,0
20260731T053635Z,cascade,1k,0.17,1,cascade_1k_frac170_r01,18.491,12.24,18.215,3.116,19.517,830,170,17.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac170_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac170_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac170_r01.txt,0
20260731T053635Z,cascade,1k,0.17,2,cascade_1k_frac170_r02,18.641,12.391,18.36,3.129,19.664,830,170,17.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac170_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac170_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac170_r02.txt,0
20260731T053635Z,cascade,1k,0.17,3,cascade_1k_frac170_r03,18.516,12.23,18.235,3.138,19.528,830,170,17.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac170_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac170_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac170_r03.txt,0
20260731T053635Z,cascade,1k,0.2,1,cascade_1k_frac200_r01,19.68,13.268,19.396,3.14,20.709,800,200,20.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac200_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac200_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac200_r01.txt,0
20260731T053635Z,cascade,1k,0.2,2,cascade_1k_frac200_r02,19.81,13.421,19.533,3.139,20.815,800,200,20.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac200_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac200_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac200_r02.txt,0
20260731T053635Z,cascade,1k,0.2,3,cascade_1k_frac200_r03,19.659,13.324,19.386,3.145,20.690,800,200,20.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac200_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac200_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac200_r03.txt,0
20260731T053635Z,cascade,1k,0.25,1,cascade_1k_frac250_r01,21.62,15.204,21.335,3.135,22.639,750,250,25.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac250_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac250_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac250_r01.txt,0
20260731T053635Z,cascade,1k,0.25,2,cascade_1k_frac250_r02,21.741,15.259,21.459,3.132,22.765,750,250,25.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac250_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac250_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac250_r02.txt,0
20260731T053635Z,cascade,1k,0.25,3,cascade_1k_frac250_r03,21.639,15.2,21.351,3.115,22.680,750,250,25.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac250_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac250_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac250_r03.txt,0
20260731T053635Z,cascade,1k,0.3,1,cascade_1k_frac300_r01,23.494,16.868,23.208,3.131,24.526,700,300,30.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac300_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac300_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac300_r01.txt,0
20260731T053635Z,cascade,1k,0.3,2,cascade_1k_frac300_r02,23.522,16.921,23.227,3.132,24.557,700,300,30.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac300_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac300_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac300_r02.txt,0
20260731T053635Z,cascade,1k,0.3,3,cascade_1k_frac300_r03,23.476,16.914,23.184,3.139,24.498,700,300,30.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac300_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac300_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac300_r03.txt,0
20260731T053635Z,cascade,1k,0.4,1,cascade_1k_frac400_r01,29.037,21.965,28.739,3.135,30.063,600,400,40.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac400_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac400_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac400_r01.txt,0
20260731T053635Z,cascade,1k,0.4,2,cascade_1k_frac400_r02,28.947,21.969,28.645,3.133,29.984,600,400,40.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac400_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac400_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac400_r02.txt,0
20260731T053635Z,cascade,1k,0.4,3,cascade_1k_frac400_r03,29.03,22.099,28.728,3.135,30.063,600,400,40.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac400_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac400_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac400_r03.txt,0
20260731T053635Z,cascade,1k,0.5,1,cascade_1k_frac500_r01,32.878,25.566,32.572,3.121,33.914,500,500,50.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac500_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac500_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac500_r01.txt,0
20260731T053635Z,cascade,1k,0.5,2,cascade_1k_frac500_r02,32.788,25.454,32.48,3.149,33.814,500,500,50.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac500_r02.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac500_r02.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac500_r02.txt,0
20260731T053635Z,cascade,1k,0.5,3,cascade_1k_frac500_r03,32.898,25.482,32.596,3.151,33.928,500,500,50.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_1k_frac500_r03.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_1k_frac500_r03.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_1k_frac500_r03.txt,0
20260731T053635Z,cascade,20k,0.05,1,cascade_20k_frac050_r01,232.28,93.138,229.085,6.14,234.113,18999,1001,5.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_20k_frac050_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_20k_frac050_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_20k_frac050_r01.txt,0
20260731T053635Z,cascade,20k,0.1,1,cascade_20k_frac100_r01,277.653,135.049,274.295,6.197,280.034,17998,2002,10.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_20k_frac100_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_20k_frac100_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_20k_frac100_r01.txt,0
20260731T053635Z,cascade,20k,0.15,1,cascade_20k_frac150_r01,,,,,306.084,,,,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_20k_frac150_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_20k_frac150_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_20k_frac150_r01.txt,-6
20260731T053635Z,cascade,20k,0.17,1,cascade_20k_frac170_r01,345.227,197.993,341.816,6.164,347.805,16601,3399,17.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_20k_frac170_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_20k_frac170_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_20k_frac170_r01.txt,0
20260731T053635Z,cascade,20k,0.2,1,cascade_20k_frac200_r01,,,,,344.186,,,,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_20k_frac200_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_20k_frac200_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_20k_frac200_r01.txt,-6
20260731T053635Z,cascade,20k,0.25,1,cascade_20k_frac250_r01,415.9,263.358,412.398,6.12,418.483,15000,5000,25.0,docs-riley/cascade-force-frac-sweep/20260731T053635Z/fastq/output_cascade_20k_frac250_r01.fastq,docs-riley/cascade-force-frac-sweep/20260731T053635Z/cascade-logs/cascade_20k_frac250_r01.tsv,docs-riley/cascade-force-frac-sweep/20260731T053635Z/consoles/cascade_20k_frac250_r01.txt,0
