read_id	mean_q	model
9d811bd0-3397-4c31-aade-0d3f50683ab4	28.958	fast
eebd1ae1-32d1-46e0-9637-593669eb15b1	24.699	fast
de6f45ab-f1d3-48ac-b060-13fb779cdf58	26.226	fast
467cd9b5-1931-487f-b3da-72cc3b01cf01	21.377	fast
98fffe63-3944-44bf-ad46-28dc8a2dae38	22.643	fast
f5f10df3-ae9f-4ec0-bcb8-4cc16d25d298	13.290	fast
ca0cd238-de51-4405-ba11-dc5b88e09662	6.392	hac
90651ea2-ef6d-4f28-8432-d50de77efae8	16.192	fast
50bc9436-9eee-4cf0-801b-1bde03f4d2aa	9.719	hac
d491c8f8-cc5b-4dd7-9d42-b7ad20e49c69	24.121	fast
a90f71a8-5e0f-4d8b-bd98-3bc496a17f6b	22.919	fast
96f8e43b-d0d8-4e94-b28d-a2e557e9a6a4	16.434	fast
d13cea08-171e-48f2-95fa-3d72d3de9307	11.014	fast
1d817fb5-d14f-468f-8e17-f2686676125a	21.592	fast
b93e6f7f-9ea0-4045-8b6d-ab68eea64fa8	18.506	fast
39f81d24-3a67-4e22-9508-70f0c9249dcc	8.931	hac
ef90200e-49ce-4fcd-9598-e4b1e753a143	19.569	fast
db13ed17-bb68-4f9e-99a4-9f1f4b913897	10.484	fast
4725b3ab-1157-4a9b-98aa-5c1b76a12af1	10.959	fast
6464f495-6a27-4bc5-a9b1-b87433e501a3	14.942	fast
2ef0c3f7-f07d-4a7a-b9a3-894b119d6ea3	10.840	fast
a53f2ea7-520e-49eb-9662-999770755ba7	8.794	hac
8766bca9-51f6-4242-885f-23a4b73599f5	26.554	fast
2ac1c865-f330-4878-888e-db8c21316e46	25.235	fast
5193565c-3d23-4ac1-ba40-7d5d7e68101f	22.121	fast
6c4047fb-6c71-4f36-b108-13f110f78979	9.228	hac
f9a3f88e-dcab-4e1c-9b4a-1585e1d5b7f5	27.851	fast
6b95edb1-d613-40d5-81af-bfb18d4f96c5	19.369	fast
c05eb34d-e461-4db6-bd52-5e78a69b4f58	16.772	fast
7b9fb37b-b107-48c4-bf7a-d2f54a51e7eb	21.073	fast
774d1d65-6714-4419-9d01-f783cde9f4be	19.231	fast
bc77b3ac-3e28-4129-a98c-2f25b8258c50	23.505	fast
11284123-adf0-42c3-89e3-da80b08bc936	20.261	fast
adc22852-86dd-4b8a-b08c-8cc3457b133c	24.594	fast
a2397018-c95b-4c3a-996e-e7f3f8827d14	8.604	hac
a8fadb7d-313b-46f1-a439-9f40c6bee422	13.334	fast
efd8f036-a9d5-458c-95bd-fd869c109b9d	10.050	fast
1a2b09da-081c-40c6-9d35-7b02e57cc23c	21.339	fast
b369dd79-95cc-4820-8dc0-22c367ccf923	24.377	fast
0ef7d313-62d1-457a-9392-9320967a1aeb	24.505	fast
e2bf62fd-1e5d-48f4-926a-c7086b096de0	25.311	fast
2c4c0847-4fde-43e3-b8dd-9c1f1466e661	20.821	fast
6e05b368-2793-4cc0-a2a0-c8fa1398d752	23.421	fast
1a9ef587-000d-4469-bec2-fb3d2a44c4d6	21.276	fast
d8d7b3f4-2c8a-45b4-bccb-24a65c69df8c	24.857	fast
bbdb265a-3fb7-4b6e-b5b5-d8c26389450d	12.368	fast
43ee2e6c-1078-4d7e-8a73-3c5643fca78d	11.162	fast
29dbe493-fba3-42b5-9e7f-94ef5591b540	23.778	fast
a8a4bc9c-c249-4ca9-8acc-05896963c996	21.836	fast
2365fb74-4f47-463b-81c9-8b60780319de	21.488	fast
6bb33ea3-da60-46e0-9807-3fc788c9219a	25.356	fast
da10ec97-d4f9-415e-a9e6-fbd6d86bb5bc	21.057	fast
2f0f589f-278b-424a-a4f1-f83c3607015f	20.971	fast
d3df4fbd-17d3-4823-9bb4-623af7eadf8c	9.089	hac
910ff3a0-16cf-45ae-98a2-c66f409ab104	24.237	fast
82f8da28-00d2-4734-85ab-d0e5358c8d91	7.855	hac
2286c236-d2f2-433a-8bcd-9a0bc9d3aff5	17.668	fast
4ce50c53-8113-4968-8af9-90542e3f3059	15.625	fast
8ea5d910-4325-4a59-bbf6-51bca33ba273	20.779	fast
6cd6531a-282a-4625-ad46-2a1546f6e60f	17.680	fast
bf447b96-6b12-45e9-bc20-c4a9acbd35d1	20.022	fast
4752031f-2c74-4dc0-beb1-738480760963	7.130	hac
6f31d49f-de82-4377-9928-73723d91bd98	8.558	hac
094af89c-79cd-4c03-89d5-d095f8ff9460	23.424	fast
dfa79462-446e-4777-a640-563fffa09a82	22.517	fast
b949e288-3b20-47fa-9b31-3bcaeae61044	22.252	fast
52db5fdf-54c2-4743-9c6b-e239309e918b	8.466	hac
a1cc9baf-a639-4873-9d57-ec642781e2e9	18.850	fast
8f628a79-b758-45d8-a521-9a01a4f7c64d	23.784	fast
5030a3f8-e9b6-4c9b-9c19-a1a28dd7c0c1	19.040	fast
cd9111c0-362c-4d6d-b1e8-0dd454607e8b	23.207	fast
8d7f5b7f-fd11-476d-b522-4af8915567da	19.382	fast
2584ac16-6a6c-4e26-bf2e-a2cb7d8ac4e5	18.087	fast
6551ea1c-ec4a-422c-ab12-11541fb90c37	22.865	fast
b68dcf3f-b1f3-4943-ad41-2846d511bd0d	20.998	fast
26aaf95d-f9b2-46ad-82dc-818098dc979a	20.920	fast
66b7d472-a1e5-47e4-9500-5842449c3dfd	17.692	fast
1d55d688-e0fc-4088-96a8-116641a21964	22.550	fast
65073b23-c70a-4455-9ee2-5fcaf88e25ae	19.838	fast
1b90bf2c-f351-4238-9940-040ee18f8e12	25.555	fast
443ef4c5-7c5d-4e28-9aca-13ab73626259	25.682	fast
7bb9806b-66bd-47af-a550-92b82f786853	24.010	fast
831f697c-b7d9-484c-83cf-dbb3262cbd4a	23.431	fast
eca58389-dc02-4db8-8dea-9642294875d9	8.720	hac
421e119b-b98b-4a62-a7e6-638e968579b6	23.503	fast
265e330f-d863-4b7c-8549-8c29d41077e1	20.529	fast
3e7173f7-c68a-4dcf-9d4f-6e93eff21cd3	26.759	fast
4f6cc06c-fe11-4c2f-b289-de48a39072e1	7.865	hac
2777052d-0346-451c-a7ae-3c099ff6a3cf	19.396	fast
d27069e1-7f27-4a02-828c-962ef4c05e21	8.102	hac
bca620b2-916a-458d-9c68-154a866fbd56	16.817	fast
446f05f6-b8d0-4036-afbd-b7b762089df5	25.912	fast
5f6b9b2b-e610-4874-be88-74489681534b	19.245	fast
2df0bcad-b58d-49b9-ac71-eb2c7dd6c91c	21.659	fast
5ba208e2-fc1d-40b4-907f-160d3e1c623f	7.101	hac
dccda846-ab99-48eb-9c0b-f953d9a03aef	21.416	fast
d5bf475b-64bb-48ed-b32c-5a9edc683a4a	22.399	fast
44eeb15b-e6bf-451b-8adf-abdce2e1e7b4	19.055	fast
4d0189ed-9ecd-46f8-8357-e2d426f03874	8.611	hac
eaaf7dc3-4cb1-48ed-ac7e-157bd256b816	25.977	fast
62557988-70a5-427e-b93c-a2f6328f6d33	16.658	fast
d64edb19-4c9b-4fda-8e1e-98c4e6aa903d	24.050	fast
e3c885a9-c791-4393-93fc-0e296f8d5b7b	25.588	fast
ea8db053-1304-46da-8d73-ae0202e8ad96	25.900	fast
b8a6c550-5ba7-4ff0-9450-db909ebe6faa	26.092	fast
f15672d2-d886-4642-8f82-560d7eacdf52	23.298	fast
b0994975-5fa7-4a8a-bea8-e53e33d316f9	22.610	fast
2c599e88-dad7-4cb8-9bff-3986b4252847	15.391	fast
0b4394ae-93ee-43c9-a5eb-338f3bfaf048	22.025	fast
3a7d80bd-d1bc-4d5b-9b08-d7e119c980eb	24.746	fast
b11f4bb5-93bd-4f7b-aa48-2ac0c5136791	5.747	hac
4d3bf693-c2df-4f98-8751-a71c2f680860	24.438	fast
b06aa798-852f-499f-9017-5233fcefbf1c	8.059	hac
0e354561-bfb4-4485-8852-8fe9141d2151	18.808	fast
97c58899-18e4-4929-af5c-bc3b918452b8	16.594	fast
fca00c22-48dd-483c-8cf4-0393f6de9a6d	26.398	fast
52488853-bd56-4794-aa07-e5493bdca3d5	20.874	fast
e6246adc-6c41-45e7-80d3-4c5863e049c0	22.271	fast
ec9ef5d7-30e8-4bbd-b431-11aa4259537b	22.578	fast
3fb73b06-7755-4886-bb3a-ce42dd598a98	19.615	fast
d2686723-08b2-440f-9338-4a7274ae6f28	24.254	fast
ed7f9060-6f0b-4b5d-8c21-16d432396fd0	22.983	fast
0785cc7c-fe68-4192-b4b8-cfa28b0711e4	9.142	hac
01d0d109-beaf-49a7-8b03-a7902cf06838	20.145	fast
72b27170-d1a9-416a-abce-ce5ddc985c3d	21.676	fast
666038a8-da42-4d2a-81ea-f7548a701eb3	20.832	fast
671a1016-40e1-4858-8b2f-aaeeba97284a	19.588	fast
3a8437de-97a1-4ebe-9163-d13a98067262	19.499	fast
6485aca0-e57c-445c-9021-7243b9f4d5d7	6.303	hac
df5e19b7-29e8-4aa1-84e2-b6e7684eecdd	27.029	fast
e82fac40-c071-4c8b-8dff-64fc26fc7f67	23.069	fast
e7aa1b2b-3b64-4ef1-ab90-314a2cf33a63	22.941	fast
ae8a30a1-e156-4212-b006-0bb05145c816	13.597	fast
d45a32d9-9ae0-40e7-b0ee-5447a227af45	23.396	fast
5bd72135-2b51-432e-8bb2-52af2c2bcc23	8.940	hac
15bcfdd9-410b-4e66-8ca2-7532e83fcc45	5.657	hac
4542a923-0dab-428e-97ca-0b23acf62327	9.488	hac
54eb350f-b040-44a8-973b-ede21862814e	23.453	fast
89c6663d-2f8f-4406-8e39-b55f3f8fb89d	29.354	fast
bfa19a68-41a6-4c14-a48d-26faef4c0967	7.728	hac
9f9b9c6b-4431-480c-bd93-93b23222c270	14.823	fast
2851cf9a-5fce-4aa9-8e23-2d2f4aceb9f5	10.938	fast
6ade6ecb-1889-4376-97d3-7669b9139d90	25.788	fast
71f5ac58-873d-4d03-9e90-1b4057bc037e	26.036	fast
e2f2c132-3982-4014-9c94-568ee4267797	13.604	fast
5cf24e38-d56e-48ce-9fcd-726a2901876e	26.535	fast
f77dae07-a1a9-4cdc-ad8b-581d8aed2374	25.489	fast
57310615-f867-4703-8367-7421d07185a6	7.672	hac
384ef248-2719-4c63-8885-c7525c730ccf	23.478	fast
d2a396e0-12df-4f16-9eb4-ed15ddb1e4dd	31.369	fast
c7adbe2e-b9e3-4b84-bad7-03929aa346c0	27.200	fast
2367e3c3-5c9f-476c-be79-7e452d678241	8.726	hac
8e63d280-3d32-49d7-82dd-d8e8f7386dc7	24.618	fast
fde8fea5-d16e-4db0-85a2-b4368d224dd1	24.627	fast
a8739616-d836-4bc2-b23f-a342e14fc0a3	17.507	fast
d9a7997a-d099-4547-9b61-9597e3c5d19d	11.665	fast
e962bbf6-d505-4f25-8102-67e469a3ac28	25.649	fast
3d2fd36e-19ba-4f23-b424-8a6351d2e60a	21.123	fast
a3a64d80-74ea-4b49-9bec-53c40c80aa11	25.178	fast
060ccee5-8d0c-4634-8837-58f68f99f842	9.154	hac
cab92519-07cf-420c-ab85-910035a67ad0	9.951	hac
9057969a-4080-49ae-9220-a68f175d4363	25.562	fast
86fa5dff-de67-44b3-bcff-10bd44b462f4	26.310	fast
da323acf-feae-4c52-9e4a-5577ae4f5794	8.632	hac
60fc51ab-46eb-484d-b3d3-a87f5969bd42	9.462	hac
d63e2c27-8fc1-4bdd-a31f-290c5cb2e7cc	19.731	fast
91ee987f-21b2-44ad-bb3c-379216d4ced5	9.672	hac
5602c6a5-7718-4f87-bf83-e1698972696e	15.050	fast
b77e67f2-0283-485e-87d7-8ec08361fb9b	22.317	fast
389e78cf-cbac-46f2-bfb0-b0299219f314	10.281	fast
962b67ac-2ea2-4de4-86a2-d7e1ae0cc3c0	7.758	hac
b9e8a04b-aa5b-40f0-b4b1-736fb4684c10	24.332	fast
7706a2e8-6964-4191-ae12-a361ac7c5029	21.714	fast
d61a6a21-80b3-4fb5-ae8c-c9ecf23d2104	27.413	fast
2b81f288-2c47-4285-b76c-a4e2fa602fd2	22.012	fast
957d5c7e-4b70-4103-b437-830e6dafda0a	23.405	fast
af659e7c-2fc1-43b1-89d2-4f70c0b6e94f	25.000	fast
9a9001c2-59eb-4803-9de2-f25099f62af9	22.443	fast
90d7aa70-02ed-438a-bffe-68fe22239029	19.991	fast
06ea4ec2-cc9d-4136-b7ce-e926df4f1e58	23.654	fast
87cfd9fc-ba61-4f87-8f15-acd745c2aab6	21.441	fast
2fadba63-9903-4f12-8471-6412693b29bb	15.685	fast
4631729b-870f-445e-b0ef-f6f4926ee221	18.992	fast
ce1b250f-6ca7-476b-87a1-50e07dbbfc9e	5.726	hac
69318fc1-1f54-4aea-9048-518f68305946	25.309	fast
223c57ab-5519-4457-94e6-0d5eec261978	22.632	fast
aaf42cec-3a4e-4a91-9bee-3e03c0ea31d5	23.903	fast
d288f3ec-e8ca-42db-8549-7e433a4d6286	5.255	hac
291ff4f9-3555-4849-bac2-97e6310162f6	9.369	hac
ecbe0487-7609-44d1-a6b6-cabb886257ec	10.710	fast
cbb0b250-9a0d-490c-84ee-112f2242b3f2	22.945	fast
c38a20b9-7f96-49eb-9452-4945a6a2833e	8.781	hac
2646b486-489e-4d99-b67c-b897501a0680	17.870	fast
c7b2bb82-3902-4678-8664-d93693ee1341	16.300	fast
7c866ad7-7f30-4845-88ef-f40abfbd0901	9.950	hac
112f2a94-b945-4dcc-a6e6-4073fde544c2	20.190	fast
32bb7e5e-12ce-4061-9dad-48114639b5e2	18.722	fast
1f45820b-2d1a-4744-b8b6-a62c4bb56e14	22.923	fast
3a1302f3-ad32-49e4-a396-6dd47732609f	26.486	fast
ab9edea2-913c-41d0-bfa1-3c71cd478167	25.679	fast
c7700e41-0992-4b83-a6cf-1022fa4a2153	8.297	hac
6621d6f5-e2c2-4b67-b37b-958bb84d784b	27.660	fast
0cfe9248-8bfe-465b-bce0-44b7b5835374	23.250	fast
09987f59-10eb-4046-95be-93af2e30a878	9.551	hac
46637468-b7b1-4e7c-83ac-6c97a554ea74	24.032	fast
eb41ab66-2d8a-4888-8617-99f1e6dc0386	26.875	fast
ec068562-ade0-4de1-bd05-a7852cc06f7f	22.845	fast
4f8f970b-9ca9-4820-8ae3-9898b3b27e5c	24.253	fast
04cd815c-0c59-4130-b2f0-b01b23bed178	24.985	fast
f449e0b2-9b66-4e39-8c1e-35e657b4382e	25.687	fast
e8bc4334-0a90-42f0-a6fc-1830d0f4cd59	24.321	fast
1883ee64-1f24-437c-b251-9d141730f991	21.049	fast
658fe1d2-4dcf-42da-a571-5cea4655dbd1	15.813	fast
44c34bb0-8365-42e6-90c8-52b28a1dee5a	23.394	fast
caf4259b-bc9e-43d6-8676-22b7cb31948a	8.355	hac
f5efc3c1-b8b0-4036-9ab7-fc40ced30e03	26.443	fast
eb6f1973-09a9-4cd2-9551-2f729c797645	8.600	hac
9f25f9a4-b9a6-404c-b590-9a875a88ecba	20.430	fast
7b990a79-d854-4bcf-916f-a92738856fce	10.099	fast
293d90e0-9398-4727-b531-550fd1c978ad	23.862	fast
d1f46e9f-d802-4cc9-b093-cdd62a3080bd	25.913	fast
db658bc0-8af1-4b86-870c-87e9fc0e31dc	24.006	fast
c9d748d6-05e5-4576-8a5d-7b9c91bac70a	25.899	fast
1b036fb7-6798-49ec-8a00-786eccce9320	23.400	fast
216e17cc-5922-43e8-94f5-1d596e29f033	9.867	hac
4f510871-c18f-41c1-9ccf-cf55e2a99381	24.033	fast
fa37807d-cec0-48ff-8811-777a69a30ec9	24.398	fast
441cc36b-ac3a-41e5-b20c-a8e226a76cc2	8.025	hac
0154ea21-7f41-4b27-9583-24e5fb577bc4	20.187	fast
5c4ecd98-5e46-4359-9740-e6f4676702d2	6.894	hac
820d4156-909b-433e-9e94-a9d84bab1b52	18.183	fast
bd972b19-67f8-402d-903c-7273ecfbcdb6	22.268	fast
5f0a2dfa-1c32-4365-9ef6-124d9d3996b4	23.196	fast
e6e773ce-7a07-4bdf-bc5e-1944aed60b7e	13.631	fast
6c92455e-1c25-49e5-8039-ab149a097992	9.167	hac
74d84cd2-6396-4b2c-8cd3-d1c1fd21c7dc	25.218	fast
9b6e17fd-1456-46e3-ab43-c8e6ddf4d263	25.047	fast
c5861f40-d144-4323-80ce-7523af4eff4c	25.402	fast
25015ea2-7dd6-4475-bdd5-5775b9966ea9	5.172	hac
9a2c7d90-391f-4b8a-9bb5-c45a70623b53	26.566	fast
18885ac1-7527-4625-8acf-00c19ebe536a	18.225	fast
a8233fd7-f14b-4c2c-9795-79be315385d2	23.179	fast
5bc9f955-234f-4b36-9fec-b2c1a8a95925	8.906	hac
8b6454cd-7851-488a-bb3a-16a53df94886	20.100	fast
640fe633-5c37-4192-80cb-7a0655a3d933	26.297	fast
0e8c083a-8aa9-41a3-8e3b-72e724b4ec82	27.870	fast
