stamp,size,threshold,rep,tag,real_s,cpu_s,proc_s,peak_ram_gb,wall_s,kept_fast,promoted_hac,pct_hac,fastq,cascade_tsv,console,exit_code
20260731T040555Z,1k,8,1,cascade_1k_thr08_r01,13.379,7.46,13.093,3.136,14.448,942,58,5.8,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr08_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr08_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr08_r01.txt,0
20260731T040555Z,1k,8,2,cascade_1k_thr08_r02,13.313,7.352,13.038,3.13,14.340,942,58,5.8,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr08_r02.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr08_r02.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr08_r02.txt,0
20260731T040555Z,1k,8,3,cascade_1k_thr08_r03,13.421,7.488,13.14,3.133,14.460,942,58,5.8,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr08_r03.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr08_r03.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr08_r03.txt,0
20260731T040555Z,1k,9,1,cascade_1k_thr09_r01,15.796,9.753,15.511,3.127,16.833,887,113,11.3,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr09_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr09_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr09_r01.txt,0
20260731T040555Z,1k,9,2,cascade_1k_thr09_r02,16.087,9.999,15.807,3.128,17.132,887,113,11.3,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr09_r02.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr09_r02.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr09_r02.txt,0
20260731T040555Z,1k,9,3,cascade_1k_thr09_r03,16.038,9.929,15.759,3.127,17.070,887,113,11.3,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr09_r03.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr09_r03.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr09_r03.txt,0
20260731T040555Z,1k,10,1,cascade_1k_thr10_r01,18.409,12.135,18.128,3.132,19.450,832,168,16.8,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr10_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr10_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr10_r01.txt,0
20260731T040555Z,1k,10,2,cascade_1k_thr10_r02,18.492,12.205,18.214,3.136,19.517,832,168,16.8,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr10_r02.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr10_r02.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr10_r02.txt,0
20260731T040555Z,1k,10,3,cascade_1k_thr10_r03,18.423,12.152,18.14,3.13,19.461,832,168,16.8,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr10_r03.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr10_r03.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr10_r03.txt,0
20260731T040555Z,1k,11,1,cascade_1k_thr11_r01,19.143,12.831,18.866,3.101,20.179,811,189,18.9,docs-riley/cascade-threshold-sweep/20260731T040555Z/fastq/output_cascade_1k_thr11_r01.fastq,docs-riley/cascade-threshold-sweep/20260731T040555Z/cascade-logs/cascade_1k_thr11_r01.tsv,docs-riley/cascade-threshold-sweep/20260731T040555Z/consoles/cascade_1k_thr11_r01.txt,0
