config,mode,phase,run,real_s,cpu_s,peak_ram_gb,cpu_beam_threads,console_log
FAST 1k,baseline,warmup,0,11.042000,3.828000,2.606000,,FAST_1k_baseline_warmup.log
FAST 1k,baseline,timed,1,11.006000,3.897000,2.600000,,FAST_1k_baseline.log
FAST 1k,cpu_beam,warmup,0,12.147000,41.632000,2.766000,,FAST_1k_cpu_beam_warmup.log
FAST 1k,cpu_beam,timed,1,12.022000,41.587000,2.765000,,FAST_1k_cpu_beam.log
HAC 1k,baseline,warmup,0,45.935000,37.578000,3.749000,,HAC_1k_baseline_warmup.log
HAC 1k,baseline,timed,1,45.722000,37.406000,3.744000,,HAC_1k_baseline.log
HAC 1k,cpu_beam,warmup,0,52.795000,79.947000,5.467000,,HAC_1k_cpu_beam_warmup.log
HAC 1k,cpu_beam,timed,1,52.387000,80.200000,5.457000,,HAC_1k_cpu_beam.log
FAST 20k,baseline,warmup,0,198.260000,40.148000,4.505000,,FAST_20k_baseline_warmup.log
FAST 20k,baseline,timed,1,197.159000,39.852000,4.486000,,FAST_20k_baseline.log
FAST 20k,cpu_beam,warmup,0,221.918000,809.763000,2.774000,,FAST_20k_cpu_beam_warmup.log
FAST 20k,cpu_beam,timed,1,218.971000,806.598000,2.777000,,FAST_20k_cpu_beam.log
HAC 20k,baseline,warmup,0,894.890000,711.597000,5.613000,,HAC_20k_baseline_warmup.log
HAC 20k,baseline,timed,1,889.712000,705.897000,5.633000,,HAC_20k_baseline.log
HAC 20k,cpu_beam,warmup,0,1053.017000,1625.831000,5.429000,,HAC_20k_cpu_beam_warmup.log
HAC 20k,cpu_beam,timed,1,1020.086000,1588.081000,5.455000,,HAC_20k_cpu_beam.log
