timestamp,fastq,n_reads,n_alignments,map_rate,accuracy_median,expected_median,delta_vs_expected,nsys_pulled,reference
2026-07-28T04:21:43.814853+00:00,output_fast_1k_overlap-li-C128-f32-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:21:48.673656+00:00,output_fast_1k_overlap-li-C128-f32-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:21:53.567924+00:00,output_fast_1k_overlap-li-C128-f4-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:21:58.414198+00:00,output_fast_1k_overlap-li-C128-f4-narrow.fastq,1000,1031,103.1%,0.940909,0.940696,+0.000213,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:03.293202+00:00,output_fast_1k_overlap-li-C128-f8-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:08.183454+00:00,output_fast_1k_overlap-li-C128-f8-narrow.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:13.057824+00:00,output_fast_1k_overlap-li-C128-ffull-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:17.913193+00:00,output_fast_1k_overlap-li-C128-ffull-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:22.783334+00:00,output_fast_1k_overlap-li-C64-f32-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:27.604258+00:00,output_fast_1k_overlap-li-C64-f32-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:32.467331+00:00,output_fast_1k_overlap-li-C64-f4-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:37.332494+00:00,output_fast_1k_overlap-li-C64-f4-narrow.fastq,1000,1031,103.1%,0.940909,0.940696,+0.000213,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:42.172008+00:00,output_fast_1k_overlap-li-C64-f8-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:47.036069+00:00,output_fast_1k_overlap-li-C64-f8-narrow.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:51.937321+00:00,output_fast_1k_overlap-li-C64-ffull-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:22:56.801180+00:00,output_fast_1k_overlap-li-C64-ffull-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:01.715699+00:00,output_fast_1k_overlap-li-f128-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:06.697515+00:00,output_fast_1k_overlap-li-f128-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:11.547959+00:00,output_fast_1k_overlap-li-f12-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:16.493756+00:00,output_fast_1k_overlap-li-f12-narrow.fastq,1000,1031,103.1%,0.940909,0.940696,+0.000213,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:21.391552+00:00,output_fast_1k_overlap-li-f16-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:26.248143+00:00,output_fast_1k_overlap-li-f16-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:31.113500+00:00,output_fast_1k_overlap-li-f24-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:35.937156+00:00,output_fast_1k_overlap-li-f24-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:40.857134+00:00,output_fast_1k_overlap-li-f32-fixedc.fastq,1000,1031,103.1%,0.940763,0.940696,+0.000067,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
2026-07-28T04:23:45.712609+00:00,output_fast_1k_overlap-li-f32-narrow.fastq,1000,1030,103.0%,0.940772,0.940696,+0.000076,,/home/riley/Desktop/slorado_analysis/ref/hg38noAlt.fa
