flush,mode,real_s,cpu_s,peak_ram_gb,infer_s,decode_s,batches,tail,padded_pct,console_log
128,narrow,10.365000,4.221000,3.649000,5.163000,8.597000,40,1,0.400000,flush128_narrow.log
128,fixedc,10.123000,4.151000,3.647000,5.115000,8.357000,40,1,0.400000,flush128_fixedc.log
96,narrow,10.973000,4.116000,3.105000,6.017000,9.314000,54,54,26.200000,flush96_narrow.log
96,fixedc,12.884000,4.361000,3.643000,7.545000,11.109000,54,54,26.200000,flush96_fixedc.log
64,narrow,9.752000,4.132000,2.522000,4.337000,8.254000,80,80,50.200000,flush64_narrow.log
64,fixedc,17.922000,4.685000,3.654000,10.790000,16.147000,80,80,50.200000,flush64_fixedc.log
48,narrow,10.427000,4.196000,2.238000,3.993000,8.994000,107,107,62.800000,flush48_narrow.log
48,fixedc,23.159000,4.983000,3.646000,14.297000,21.383000,107,107,62.800000,flush48_fixedc.log
32,narrow,11.914000,4.442000,1.951000,2.694000,10.414000,160,160,75.100000,flush32_narrow.log
32,fixedc,33.528000,5.564000,3.647000,20.984000,31.723000,160,160,75.100000,flush32_fixedc.log
24,narrow,14.216000,4.839000,1.816000,2.434000,12.758000,213,213,81.300000,flush24_narrow.log
24,fixedc,43.773000,6.040000,3.650000,27.602000,41.960000,213,213,81.300000,flush24_fixedc.log
16,narrow,17.580000,5.450000,1.631000,2.651000,16.103000,319,319,87.500000,flush16_narrow.log
16,fixedc,64.469000,7.276000,3.651000,41.054000,62.628000,319,319,87.500000,flush16_fixedc.log
12,narrow,22.534000,6.153000,1.547000,3.260000,21.021000,425,425,90.600000,flush12_narrow.log
12,fixedc,85.088000,8.389000,3.651000,54.376000,83.215000,425,425,90.600000,flush12_fixedc.log
8,narrow,30.866000,7.669000,1.488000,4.701000,29.357000,638,638,93.800000,flush8_narrow.log
8,fixedc,126.696000,10.895000,3.649000,80.679000,124.755000,638,638,93.800000,flush8_fixedc.log
4,narrow,56.965000,11.988000,1.384000,8.641000,55.405000,1275,1275,96.900000,flush4_narrow.log
4,fixedc,250.788000,17.718000,3.647000,159.072000,248.777000,1275,1275,96.900000,flush4_fixedc.log
