flush,mode,real_s,cpu_s,peak_ram_gb,infer_s,decode_s,batches,tail,padded_pct,console_log,fastq
128,narrow,10.602000,4.451000,3.644000,5.352000,8.744000,40,1,0.400000,flush128_narrow.log,output_fast_1k_overlap-li-f128-narrow.fastq
128,fixedc,10.159000,4.223000,3.641000,5.158000,8.345000,40,1,0.400000,flush128_fixedc.log,output_fast_1k_overlap-li-f128-fixedc.fastq
96,narrow,10.863000,4.196000,3.090000,6.054000,9.183000,54,54,26.200000,flush96_narrow.log,output_fast_1k_overlap-li-f96-narrow.fastq
96,fixedc,12.894000,4.388000,3.642000,7.556000,11.124000,54,54,26.200000,flush96_fixedc.log,output_fast_1k_overlap-li-f96-fixedc.fastq
64,narrow,9.774000,4.113000,2.521000,4.321000,8.279000,80,80,50.200000,flush64_narrow.log,output_fast_1k_overlap-li-f64-narrow.fastq
64,fixedc,17.932000,4.682000,3.643000,10.861000,16.136000,80,80,50.200000,flush64_fixedc.log,output_fast_1k_overlap-li-f64-fixedc.fastq
48,narrow,10.502000,4.230000,2.227000,4.035000,9.014000,107,107,62.800000,flush48_narrow.log,output_fast_1k_overlap-li-f48-narrow.fastq
48,fixedc,23.193000,4.844000,3.642000,14.263000,21.386000,107,107,62.800000,flush48_fixedc.log,output_fast_1k_overlap-li-f48-fixedc.fastq
32,narrow,11.858000,4.496000,1.948000,2.696000,10.408000,160,160,75.100000,flush32_narrow.log,output_fast_1k_overlap-li-f32-narrow.fastq
32,fixedc,33.588000,5.601000,3.642000,21.024000,31.739000,160,160,75.100000,flush32_fixedc.log,output_fast_1k_overlap-li-f32-fixedc.fastq
24,narrow,14.224000,4.904000,1.807000,2.470000,12.736000,213,213,81.300000,flush24_narrow.log,output_fast_1k_overlap-li-f24-narrow.fastq
24,fixedc,43.850000,6.137000,3.645000,27.639000,41.966000,213,213,81.300000,flush24_fixedc.log,output_fast_1k_overlap-li-f24-fixedc.fastq
16,narrow,17.584000,5.559000,1.628000,2.708000,16.103000,319,319,87.500000,flush16_narrow.log,output_fast_1k_overlap-li-f16-narrow.fastq
16,fixedc,64.488000,7.398000,3.640000,41.137000,62.628000,319,319,87.500000,flush16_fixedc.log,output_fast_1k_overlap-li-f16-fixedc.fastq
12,narrow,22.531000,6.282000,1.551000,3.347000,21.041000,425,425,90.600000,flush12_narrow.log,output_fast_1k_overlap-li-f12-narrow.fastq
12,fixedc,85.103000,8.477000,3.643000,54.444000,83.262000,425,425,90.600000,flush12_fixedc.log,output_fast_1k_overlap-li-f12-fixedc.fastq
8,narrow,30.869000,7.658000,1.487000,4.663000,29.358000,638,638,93.800000,flush8_narrow.log,output_fast_1k_overlap-li-f8-narrow.fastq
8,fixedc,126.659000,10.720000,3.646000,80.771000,124.715000,638,638,93.800000,flush8_fixedc.log,output_fast_1k_overlap-li-f8-fixedc.fastq
4,narrow,56.952000,11.873000,1.375000,8.525000,55.372000,1275,1275,96.900000,flush4_narrow.log,output_fast_1k_overlap-li-f4-narrow.fastq
4,fixedc,250.682000,17.668000,3.645000,160.155000,248.667000,1275,1275,96.900000,flush4_fixedc.log,output_fast_1k_overlap-li-f4-fixedc.fastq
