C,flush,mode,real_s,cpu_s,peak_ram_gb,infer_s,decode_s,batches,tail,padded_pct,console_log
64,full,narrow,9.844000,4.025000,2.419000,4.341000,8.334000,80,1,0.400000,C64_flushfull_narrow.log
64,full,fixedc,9.752000,4.076000,2.420000,4.334000,8.261000,80,1,0.400000,C64_flushfull_fixedc.log
64,32,narrow,11.865000,4.414000,1.849000,2.694000,10.403000,160,160,50.200000,C64_flush32_narrow.log
64,32,fixedc,17.426000,4.701000,2.426000,7.400000,15.906000,160,160,50.200000,C64_flush32_fixedc.log
64,8,narrow,30.874000,7.555000,1.384000,4.619000,29.392000,638,638,87.500000,C64_flush8_narrow.log
64,8,fixedc,63.846000,8.732000,2.425000,29.743000,62.244000,638,638,87.500000,C64_flush8_fixedc.log
64,4,narrow,56.959000,11.964000,1.275000,8.707000,55.451000,1275,1275,93.800000,C64_flush4_narrow.log
64,4,fixedc,125.420000,14.189000,2.420000,60.247000,123.749000,1275,1275,93.800000,C64_flush4_fixedc.log
128,full,narrow,10.253000,4.267000,3.647000,5.103000,8.463000,40,1,0.400000,C128_flushfull_narrow.log
128,full,fixedc,10.117000,4.202000,3.645000,5.122000,8.351000,40,1,0.400000,C128_flushfull_fixedc.log
128,32,narrow,11.887000,4.444000,1.955000,2.703000,10.454000,160,160,75.100000,C128_flush32_narrow.log
128,32,fixedc,33.531000,5.520000,3.655000,20.958000,31.741000,160,160,75.100000,C128_flush32_fixedc.log
128,8,narrow,30.872000,7.528000,1.491000,4.555000,29.398000,638,638,93.800000,C128_flush8_narrow.log
128,8,fixedc,126.681000,10.811000,3.649000,80.654000,124.787000,638,638,93.800000,C128_flush8_fixedc.log
128,4,narrow,56.964000,11.711000,1.379000,8.437000,55.430000,1275,1275,96.900000,C128_flush4_narrow.log
128,4,fixedc,250.857000,17.668000,3.651000,159.498000,248.793000,1275,1275,96.900000,C128_flush4_fixedc.log
