config,phase,run,real_s,cpu_s,peak_ram_gb,status,attempts,nsight,fastq,note
FAST 1k,accuracy,,11.789000,4.788000,2.819000,ok,1,yes,output_fast_1k-baseline-v1.1.fastq,
FAST 1k,timed,1,11.438000,3.941000,2.613000,ok,1,no,,
FAST 1k,timed,2,11.403000,3.910000,2.615000,ok,1,no,,
FAST 1k,timed,3,11.376000,3.991000,2.611000,ok,1,no,,
FAST 1k,timed,4,11.362000,3.945000,2.609000,ok,1,no,,
FAST 1k,timed,5,11.400000,3.977000,2.615000,ok,1,no,,
FAST 1k,timed,6,11.413000,3.969000,2.616000,ok,1,no,,
FAST 1k,timed,7,11.391000,3.989000,2.611000,ok,1,no,,
FAST 1k,timed,8,11.410000,3.963000,2.613000,ok,1,no,,
FAST 1k,timed,9,11.416000,4.005000,2.612000,ok,1,no,,
FAST 1k,timed,10,11.399000,3.997000,2.611000,ok,1,no,,
HAC 1k,accuracy,,48.113000,40.150000,4.045000,ok,1,yes,output_hac_1k-baseline-v1.1.fastq,
HAC 1k,timed,1,46.505000,31.793000,3.735000,ok,1,no,,
HAC 1k,timed,2,46.634000,31.890000,3.740000,ok,1,no,,
HAC 1k,timed,3,46.451000,31.799000,3.745000,ok,1,no,,
HAC 1k,timed,4,46.720000,31.953000,3.748000,ok,1,no,,
HAC 1k,timed,5,46.456000,31.796000,3.738000,ok,1,no,,
HAC 1k,timed,6,46.577000,31.899000,3.742000,ok,1,no,,
HAC 1k,timed,7,46.342000,31.680000,3.745000,ok,1,no,,
HAC 1k,timed,8,46.594000,31.878000,3.740000,ok,1,no,,
HAC 1k,timed,9,46.475000,31.713000,3.745000,ok,1,no,,
HAC 1k,timed,10,46.793000,32.024000,3.741000,ok,1,no,,
FAST 20k,accuracy,,209.695000,48.076000,4.682000,ok,1,yes,output_fast_20k-baseline-v1.1.fastq,
FAST 20k,timed,1,204.080000,41.685000,4.448000,ok,2,no,,
FAST 20k,timed,2,203.647000,41.479000,4.462000,ok,1,no,,
FAST 20k,timed,3,203.406000,41.372000,4.481000,ok,1,no,,
HAC 20k,accuracy,,947.356000,774.919000,6.069000,ok,1,yes,output_hac_20k-baseline-v1.1.fastq,
HAC 20k,timed,1,898.258000,586.917000,5.620000,ok,1,no,,
HAC 20k,timed,2,899.090000,587.639000,5.566000,ok,1,no,,
HAC 20k,timed,3,902.285000,590.446000,5.583000,ok,1,no,,
