config,phase,run,real_s,cpu_s,peak_ram_gb,status,attempts,nsight,fastq,note
FAST 1k,accuracy,,10.614000,4.988000,3.870000,ok,1,yes,output_fast_1k_overlap-overlap-v1.2.fastq,
FAST 1k,timed,1,10.144000,4.188000,3.676000,ok,1,no,,
FAST 1k,timed,2,10.067000,4.214000,3.677000,ok,1,no,,
FAST 1k,timed,3,10.069000,4.176000,3.672000,ok,1,no,,
FAST 1k,timed,4,10.126000,4.182000,3.672000,ok,1,no,,
FAST 1k,timed,5,10.064000,4.180000,3.678000,ok,1,no,,
FAST 1k,timed,6,10.079000,4.157000,3.679000,ok,1,no,,
FAST 1k,timed,7,10.074000,4.073000,3.674000,ok,1,no,,
FAST 1k,timed,8,10.116000,4.181000,3.673000,ok,1,no,,
FAST 1k,timed,9,10.065000,4.172000,3.681000,ok,1,no,,
FAST 1k,timed,10,10.107000,4.169000,3.673000,ok,1,no,,
HAC 1k,accuracy,,46.662000,51.635000,4.593000,ok,1,yes,output_hac_1k_overlap-overlap-v1.2.fastq,
HAC 1k,timed,1,45.216000,43.494000,4.284000,ok,1,no,,
HAC 1k,timed,2,45.184000,43.533000,4.281000,ok,1,no,,
HAC 1k,timed,3,45.071000,43.449000,4.285000,ok,1,no,,
HAC 1k,timed,4,45.151000,43.484000,4.280000,ok,1,no,,
HAC 1k,timed,5,45.109000,43.497000,4.286000,ok,1,no,,
HAC 1k,timed,6,45.196000,43.575000,4.287000,ok,1,no,,
HAC 1k,timed,7,45.133000,43.484000,4.280000,ok,1,no,,
HAC 1k,timed,8,45.285000,43.634000,4.281000,ok,1,no,,
HAC 1k,timed,9,45.302000,43.686000,4.285000,ok,1,no,,
HAC 1k,timed,10,45.230000,43.537000,4.279000,ok,1,no,,
FAST 20k,accuracy,,178.300000,45.174000,5.720000,ok,1,yes,output_fast_20k_overlap-overlap-v1.2.fastq,
FAST 20k,timed,1,175.746000,39.464000,5.559000,ok,1,no,,
FAST 20k,timed,2,175.497000,39.944000,5.498000,ok,1,no,,
FAST 20k,timed,3,175.358000,39.657000,5.542000,ok,1,no,,
HAC 20k,accuracy,,929.570000,1002.086000,6.267000,ok,1,yes,output_hac_20k_overlap-overlap-v1.2.fastq,
HAC 20k,timed,1,871.883000,822.494000,6.050000,ok,1,no,,
HAC 20k,timed,2,873.285000,824.405000,6.067000,ok,1,no,,
HAC 20k,timed,3,876.746000,827.281000,5.983000,ok,1,no,,
