timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 23:02:04,1040,7607,1438,16384,2.3333333333333335,0.0,5096,VDD_IN,7140,600,600,5096,5096,1444,1444,2.0,5.0,1.0,5.0,0.0,1.0,45.75,46.062,45.968,45.625,44.562,46.062
08-11-2026 23:02:05,1163,7607,1438,16384,16.5,0.0,5608,VDD_IN,8048,780,960,5352,5608,1462,1480,16.0,8.0,51.0,10.0,7.0,7.0,45.843,45.937,46.0,45.531,44.593,46.0
08-11-2026 23:02:06,1654,7607,1438,16384,18.666666666666668,0.0,5880,VDD_IN,8520,893,1120,5528,5880,1481,1520,11.0,10.0,26.0,45.0,11.0,9.0,45.906,46.031,45.968,45.593,44.562,46.031
08-11-2026 23:02:07,2381,7607,1438,16384,23.0,0.0,6480,VDD_IN,9517,1009,1357,5766,6480,1531,1680,23.0,18.0,40.0,20.0,14.0,23.0,46.093,46.125,45.937,45.656,44.562,46.125
08-11-2026 23:02:08,3486,7607,1438,16384,24.5,99.0,9514,VDD_IN,15041,1499,3457,6516,9514,1639,2070,18.0,8.0,54.0,7.0,1.0,59.0,46.031,47.593,46.125,45.718,45.0,47.593
08-11-2026 23:02:09,3490,7607,1438,16384,3.3333333333333335,99.0,12914,VDD_IN,21372,2190,5646,7582,12914,1834,2812,2.0,7.0,7.0,3.0,1.0,0.0,46.781,48.406,46.406,45.968,45.375,48.406
08-11-2026 23:02:10,3492,7607,1438,16384,3.3333333333333335,95.0,14238,VDD_IN,23862,2733,5992,8533,14238,2091,3632,3.0,2.0,10.0,5.0,0.0,0.0,46.906,48.968,46.812,46.062,45.906,48.968
08-11-2026 23:02:11,3493,7607,1438,16384,2.1666666666666665,90.0,13764,VDD_IN,23040,3101,5677,9187,13764,2280,3599,2.0,4.0,2.0,5.0,0.0,0.0,47.093,48.562,47.031,46.312,45.968,48.562
08-11-2026 23:02:12,3495,7607,1438,16384,2.5,99.0,14080,VDD_IN,23586,3405,5834,9730,14080,2434,3672,4.0,0.0,2.0,9.0,0.0,0.0,47.687,49.343,47.093,46.531,46.156,49.343
08-11-2026 23:02:13,3496,7607,1438,16384,2.5,99.0,14396,VDD_IN,24129,3663,5982,10197,14396,2566,3751,2.0,9.0,2.0,1.0,1.0,0.0,48.093,49.625,47.343,46.718,46.531,49.625
08-11-2026 23:02:14,3499,7607,1438,16384,6.666666666666667,98.0,14396,VDD_IN,24178,3881,6071,10579,14396,2670,3711,15.0,3.0,8.0,13.0,1.0,0.0,48.0,49.843,47.562,47.0,46.687,49.843
08-11-2026 23:02:15,3500,7607,1438,16384,2.5,99.0,13764,VDD_IN,23040,4031,5677,10844,13764,2748,3599,5.0,2.0,6.0,1.0,1.0,0.0,47.812,49.156,47.75,46.906,46.812,49.156
08-11-2026 23:02:16,3500,7607,1438,16384,2.3333333333333335,99.0,14001,VDD_IN,23428,4164,5755,11087,14001,2819,3672,1.0,1.0,11.0,1.0,0.0,0.0,48.343,49.718,48.0,47.156,46.968,49.718
08-11-2026 23:02:17,3501,7607,1438,16384,2.5,99.0,14238,VDD_IN,23862,4289,5913,11312,14238,2882,3711,2.0,1.0,3.0,8.0,1.0,0.0,48.531,50.093,48.093,47.281,47.062,50.093
08-11-2026 23:02:18,2092,7607,1438,16384,13.333333333333334,0.0,6948,VDD_IN,10538,4117,1714,11021,6948,2815,1876,5.0,31.0,2.0,31.0,1.0,10.0,48.125,48.156,47.843,47.406,46.593,48.156
