timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 23:02:27,1991,7607,1437,16384,1.3333333333333333,53.0,5096,VDD_IN,7138,560,560,5096,5096,1482,1482,2.0,2.0,2.0,2.0,0.0,0.0,47.062,47.531,47.343,46.968,45.812,47.531
08-11-2026 23:02:28,2214,7607,1437,16384,23.0,52.0,5889,VDD_IN,8569,860,1160,5493,5889,1501,1520,72.0,11.0,11.0,22.0,14.0,8.0,47.125,47.437,47.406,47.0,45.968,47.437
08-11-2026 23:02:29,3519,7607,1437,16384,24.333333333333332,99.0,10270,VDD_IN,16343,1869,3888,7085,10270,1729,2185,20.0,13.0,18.0,12.0,74.0,9.0,47.937,48.875,47.531,47.0,46.5,48.875
08-11-2026 23:02:30,3679,7607,1437,16384,70.66666666666667,99.0,16873,VDD_IN,28458,3295,7571,9532,16873,2300,4014,67.0,65.0,74.0,72.0,68.0,78.0,49.281,50.0,47.812,47.343,47.218,50.0
08-11-2026 23:02:31,3613,7607,1434,16384,62.666666666666664,99.0,14847,VDD_IN,24935,3872,6179,10595,14847,2622,3909,76.0,56.0,60.0,57.0,64.0,63.0,49.468,49.812,48.25,47.75,47.375,49.812
08-11-2026 23:02:32,3438,7607,1433,16384,66.33333333333333,63.0,14634,VDD_IN,24564,4250,6140,11268,14634,2817,3790,82.0,59.0,62.0,61.0,68.0,66.0,49.093,50.25,48.437,47.968,47.656,50.25
08-11-2026 23:02:33,3681,7607,1433,16384,67.83333333333333,21.0,15163,VDD_IN,25520,4570,6494,11825,15163,2966,3863,62.0,68.0,70.0,68.0,74.0,65.0,49.656,50.031,48.718,48.031,48.0,50.031
08-11-2026 23:02:34,3677,7607,1433,16384,60.666666666666664,99.0,16045,VDD_IN,27061,4864,6916,12352,16045,3108,4100,62.0,73.0,52.0,44.0,67.0,66.0,50.25,51.031,48.906,48.187,48.187,51.031
08-11-2026 23:02:35,3669,7607,1433,16384,67.0,99.0,15716,VDD_IN,26495,5078,6798,12726,15716,3205,3981,58.0,72.0,56.0,71.0,71.0,74.0,50.343,51.218,48.968,48.375,48.281,51.218
08-11-2026 23:02:36,3685,7607,1433,16384,65.66666666666667,0.0,14238,VDD_IN,23863,5166,5953,12877,14238,3252,3672,63.0,60.0,70.0,59.0,68.0,74.0,50.187,50.468,49.156,48.718,48.312,50.468
08-11-2026 23:02:37,3672,7607,1433,16384,62.333333333333336,99.0,15637,VDD_IN,26338,5304,6680,13128,15637,3322,4021,66.0,57.0,64.0,65.0,63.0,59.0,50.593,51.062,49.343,48.812,48.687,51.062
08-11-2026 23:02:38,3510,7607,1433,16384,59.5,99.0,13922,VDD_IN,23270,5331,5637,13194,13922,3354,3711,57.0,59.0,45.0,67.0,63.0,66.0,50.25,51.031,49.5,48.812,48.718,51.031
08-11-2026 23:02:39,3676,7607,1433,16384,64.5,22.0,14792,VDD_IN,24840,5403,6258,13317,14792,3388,3790,67.0,79.0,61.0,65.0,58.0,57.0,50.906,50.781,49.562,49.062,48.875,50.906
08-11-2026 23:02:40,3340,7607,1433,16384,53.833333333333336,0.0,7907,VDD_IN,12169,5173,2189,12931,7907,3294,2073,56.0,59.0,48.0,42.0,50.0,68.0,49.937,49.718,49.375,49.062,48.25,49.937
