timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 23:03:47,2002,7607,1430,16384,1.3333333333333333,0.0,5096,VDD_IN,7138,600,600,5096,5096,1442,1442,3.0,2.0,1.0,1.0,1.0,0.0,53.625,53.468,53.937,53.625,52.312,53.937
08-11-2026 23:03:48,2223,7607,1430,16384,27.5,6.0,6000,VDD_IN,8758,919,1238,5548,6000,1481,1520,24.0,15.0,19.0,26.0,20.0,61.0,53.531,53.062,53.906,53.468,52.343,53.906
08-11-2026 23:03:49,3747,7607,1429,16384,20.5,97.0,8173,VDD_IN,12474,1422,2428,6423,8173,1612,1873,9.0,67.0,5.0,7.0,35.0,0.0,53.437,53.937,53.75,53.437,52.343,53.937
08-11-2026 23:03:50,4748,7607,1429,16384,19.0,0.0,12499,VDD_IN,20681,2419,5409,7942,12499,1902,2773,4.0,3.0,3.0,5.0,99.0,0.0,54.125,54.312,54.031,53.531,53.0,54.312
08-11-2026 23:03:51,6114,7607,1429,16384,30.5,6.0,9514,VDD_IN,14882,2539,3020,8256,9514,1991,2348,34.0,3.0,46.0,2.0,52.0,46.0,54.218,53.906,54.0,53.718,52.875,54.218
08-11-2026 23:03:52,5605,7607,1429,16384,33.833333333333336,97.0,15887,VDD_IN,27123,3424,7846,9528,15887,2224,3390,20.0,16.0,41.0,19.0,75.0,32.0,55.0,55.937,54.312,53.812,53.437,55.937
08-11-2026 23:03:53,6441,7607,1429,16384,43.0,98.0,14317,VDD_IN,24059,3858,6465,10212,14317,2375,3277,34.0,26.0,68.0,38.0,70.0,22.0,55.25,55.812,54.375,53.781,53.593,55.812
08-11-2026 23:03:54,6051,7607,1429,16384,20.333333333333332,4.0,15281,VDD_IN,25353,4142,6130,10846,15281,2571,3942,4.0,1.0,21.0,7.0,11.0,78.0,55.187,55.093,54.531,53.843,53.718,55.187
08-11-2026 23:03:55,5616,7607,1429,16384,30.333333333333332,99.0,16924,VDD_IN,29005,4609,8342,11521,16924,2700,3739,15.0,22.0,40.0,15.0,10.0,80.0,55.25,56.5,54.625,54.093,53.968,56.312
08-11-2026 23:03:56,5615,7607,1429,16384,34.833333333333336,97.0,16203,VDD_IN,27513,4909,7611,11989,16203,2800,3699,19.0,16.0,50.0,15.0,84.0,25.0,55.218,56.218,54.75,54.218,54.031,56.218
08-11-2026 23:03:57,6420,7607,1429,16384,24.166666666666668,98.0,14847,VDD_IN,24731,5017,6100,12249,14847,2890,3784,14.0,20.0,14.0,26.0,65.0,6.0,55.5,56.0,54.906,54.218,54.187,56.0
08-11-2026 23:03:58,5649,7607,1429,16384,24.166666666666668,99.0,17200,VDD_IN,28885,5216,7402,12662,17200,3006,4283,14.0,14.0,11.0,12.0,9.0,85.0,55.812,56.375,55.031,54.281,54.343,56.375
08-11-2026 23:03:59,5626,7607,1429,16384,36.0,98.0,17357,VDD_IN,29706,5471,8538,13023,17357,3068,3811,24.0,23.0,30.0,43.0,17.0,79.0,55.468,56.968,55.125,54.406,54.468,56.968
08-11-2026 23:04:00,5628,7607,1429,16384,30.666666666666668,98.0,16964,VDD_IN,28961,5663,8146,13304,16964,3124,3851,19.0,19.0,14.0,41.0,15.0,76.0,56.031,57.062,55.218,54.625,54.531,57.062
08-11-2026 23:04:01,5629,7607,1429,16384,27.333333333333332,97.0,16203,VDD_IN,27408,5772,7309,13498,16203,3175,3896,14.0,23.0,18.0,16.0,37.0,56.0,55.625,57.031,55.343,54.781,54.75,57.031
08-11-2026 23:04:02,6150,7607,1429,16384,17.0,17.0,15479,VDD_IN,25669,5795,6130,13622,15479,3231,4060,5.0,58.0,3.0,2.0,14.0,20.0,55.843,56.156,55.562,54.656,54.593,56.156
08-11-2026 23:04:03,5630,7607,1429,16384,28.5,99.0,17200,VDD_IN,29237,5921,7951,13832,17200,3281,4086,16.0,13.0,17.0,23.0,25.0,77.0,56.312,57.375,55.75,54.781,54.843,57.375
08-11-2026 23:04:04,5633,7607,1429,16384,34.333333333333336,97.0,17239,VDD_IN,29549,6065,8499,14021,17239,3310,3811,17.0,19.0,30.0,19.0,44.0,77.0,56.281,57.468,55.625,54.875,55.093,57.468
08-11-2026 23:04:05,5627,7607,1429,16384,28.833333333333332,97.0,16676,VDD_IN,28300,6154,7767,14161,16676,3339,3857,11.0,17.0,36.0,17.0,22.0,70.0,56.5,57.281,55.687,55.062,55.125,57.281
08-11-2026 23:04:06,6411,7607,1429,16384,19.833333333333332,98.0,14689,VDD_IN,24416,6140,5864,14187,14689,3365,3863,7.0,5.0,7.0,30.0,5.0,65.0,56.437,56.781,55.843,55.25,55.187,56.781
08-11-2026 23:04:07,5627,7607,1429,16384,26.666666666666668,99.0,17082,VDD_IN,28688,6198,7363,14325,17082,3407,4243,14.0,13.0,14.0,16.0,17.0,86.0,56.781,56.937,56.0,55.125,55.343,56.937
08-11-2026 23:04:08,5621,7607,1429,16384,36.833333333333336,97.0,17357,VDD_IN,29745,6306,8577,14463,17357,3425,3811,18.0,22.0,47.0,21.0,21.0,92.0,56.656,57.687,55.968,55.25,55.343,57.687
08-11-2026 23:04:09,5621,7607,1429,16384,30.833333333333332,97.0,16885,VDD_IN,28778,6382,8042,14568,16885,3444,3851,15.0,16.0,49.0,15.0,19.0,71.0,56.625,57.562,56.031,55.437,55.312,57.562
08-11-2026 23:04:10,6458,7607,1429,16384,36.0,98.0,16242,VDD_IN,27435,6420,7297,14638,16242,3463,3896,27.0,17.0,33.0,52.0,19.0,68.0,57.187,57.875,56.156,55.5,55.562,57.875
08-11-2026 23:04:11,6053,7607,1429,16384,20.5,17.0,16203,VDD_IN,27004,6430,6669,14701,16203,3490,4132,9.0,4.0,2.0,29.0,1.0,78.0,56.718,57.062,56.187,55.593,55.5,57.062
