timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 23:12:11,2023,7607,1424,16384,1.3333333333333333,32.0,5176,VDD_IN,7302,642,642,5176,5176,1484,1484,2.0,2.0,1.0,3.0,0.0,0.0,57.156,56.625,57.625,57.343,56.093,57.625
08-11-2026 23:12:12,2309,7607,1424,16384,21.166666666666668,32.0,6000,VDD_IN,8675,900,1158,5588,6000,1501,1517,10.0,11.0,20.0,70.0,8.0,8.0,57.187,56.468,57.5,57.156,56.093,57.5
08-11-2026 23:12:13,3091,7607,1424,16384,53.833333333333336,7.0,6789,VDD_IN,10180,1211,1834,5988,6789,1519,1557,53.0,53.0,59.0,51.0,52.0,55.0,57.218,56.375,57.281,57.0,55.937,57.281
08-11-2026 23:12:14,4060,7607,1424,16384,44.0,1.0,6789,VDD_IN,10097,1327,1674,6189,6789,1548,1634,36.0,38.0,41.0,72.0,37.0,40.0,57.125,56.375,57.25,56.968,55.875,57.25
08-11-2026 23:12:15,5162,7607,1424,16384,16.166666666666668,98.0,12241,VDD_IN,20453,2197,5677,7399,12241,1745,2535,3.0,2.0,0.0,91.0,0.0,1.0,57.406,58.031,57.281,56.906,56.25,58.343
08-11-2026 23:12:16,5708,7607,1424,16384,15.333333333333334,99.0,13091,VDD_IN,21378,2751,5519,8348,13091,1916,2768,7.0,2.0,2.0,73.0,8.0,0.0,57.75,58.218,57.468,57.0,56.531,58.218
08-11-2026 23:12:17,5708,7607,1424,16384,14.5,99.0,16084,VDD_IN,27316,3428,7493,9453,16084,2176,3739,4.0,1.0,4.0,75.0,1.0,2.0,57.75,59.0,57.718,57.062,56.906,59.0
08-11-2026 23:12:18,5714,7607,1424,16384,18.5,99.0,16728,VDD_IN,28607,4008,8068,10362,16728,2381,3811,7.0,4.0,10.0,87.0,2.0,1.0,58.375,59.0,57.843,57.156,57.062,59.0
08-11-2026 23:12:19,5714,7607,1424,16384,16.666666666666668,97.0,17329,VDD_IN,29743,4514,8563,11136,17329,2544,3851,11.0,3.0,3.0,7.0,76.0,0.0,58.312,59.562,58.062,57.281,57.25,59.562
08-11-2026 23:12:20,5714,7607,1424,16384,15.333333333333334,98.0,17408,VDD_IN,29822,4919,8563,11764,17408,2675,3851,2.0,2.0,3.0,4.0,81.0,0.0,58.281,59.75,58.031,57.406,57.406,59.75
