timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 17:33:19,2052,7607,1431,16384,6.666666666666667,0.0,5096,VDD_IN,7180,600,600,5096,5096,1484,1484,19.0,6.0,3.0,9.0,0.0,3.0,48.406,48.906,48.781,48.593,47.218,48.906
08-11-2026 17:33:20,2320,7607,1431,16384,23.0,0.0,5880,VDD_IN,8518,859,1118,5488,5880,1502,1520,57.0,12.0,12.0,34.0,11.0,12.0,48.656,49.031,48.843,48.5,47.406,49.031
08-11-2026 17:33:21,3125,7607,1431,16384,28.333333333333332,69.0,7707,VDD_IN,11770,1329,2269,6228,7707,1599,1794,23.0,18.0,21.0,55.0,34.0,19.0,48.781,49.312,48.781,48.468,47.375,49.312
08-11-2026 17:33:22,3497,7607,1431,16384,5.333333333333333,99.0,13803,VDD_IN,22954,2495,5992,8122,13803,1989,3159,2.0,3.0,2.0,3.0,22.0,0.0,49.531,50.937,49.156,48.75,48.031,50.937
08-11-2026 17:33:23,3501,7607,1431,16384,19.166666666666668,99.0,15927,VDD_IN,26923,3416,7100,9683,15927,2371,3896,24.0,6.0,68.0,0.0,14.0,3.0,50.343,51.531,49.593,49.031,48.75,51.531
08-11-2026 17:33:24,3507,7607,1431,16384,22.166666666666668,99.0,16124,VDD_IN,27278,4043,7179,10756,16124,2638,3975,9.0,21.0,8.0,69.0,21.0,5.0,50.187,51.875,49.843,49.375,49.031,51.875
08-11-2026 17:33:25,3509,7607,1431,16384,3.0,99.0,15611,VDD_IN,26272,4425,6719,11450,15611,2824,3942,1.0,1.0,1.0,0.0,2.0,13.0,50.468,52.031,50.218,49.375,49.187,52.031
08-11-2026 17:33:26,3512,7607,1431,16384,2.8333333333333335,99.0,15558,VDD_IN,26180,4707,6680,11963,15558,2964,3942,1.0,0.0,0.0,2.0,0.0,14.0,50.625,52.656,50.218,49.531,49.343,52.656
08-11-2026 17:33:28,3514,7607,1431,16384,2.6666666666666665,99.0,15572,VDD_IN,26272,4931,6719,12364,15572,3077,3981,1.0,0.0,2.0,1.0,1.0,11.0,50.875,52.718,50.437,49.781,49.625,52.718
08-11-2026 17:33:29,3516,7607,1431,16384,4.166666666666667,99.0,15611,VDD_IN,26272,5110,6719,12689,15611,3164,3942,2.0,2.0,2.0,1.0,4.0,14.0,51.312,52.875,50.687,50.0,49.843,52.875
08-11-2026 17:33:30,3519,7607,1430,16384,22.166666666666668,99.0,16163,VDD_IN,27356,5301,7218,13005,16163,3237,3975,78.0,24.0,5.0,4.0,18.0,4.0,51.25,53.25,50.906,50.343,50.156,53.25
