timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 17:56:21,2059,7607,1411,16384,1.5,0.0,5184,VDD_IN,7269,601,601,5184,5184,1484,1484,4.0,1.0,2.0,2.0,0.0,0.0,60.375,60.031,61.156,60.656,59.687,61.156
08-11-2026 17:56:22,2182,7607,1411,16384,18.666666666666668,0.0,5910,VDD_IN,8623,899,1196,5547,5910,1501,1517,34.0,21.0,12.0,30.0,8.0,7.0,60.843,59.937,61.093,60.5,59.687,61.093
08-11-2026 17:56:23,2415,7607,1411,16384,17.833333333333332,0.0,5870,VDD_IN,8461,944,1036,5655,5870,1519,1555,18.0,34.0,12.0,35.0,6.0,2.0,60.468,60.093,60.843,60.375,59.343,60.843
08-11-2026 17:56:24,3085,7607,1411,16384,40.666666666666664,0.0,6698,VDD_IN,10003,1136,1711,5916,6698,1538,1594,38.0,37.0,47.0,43.0,39.0,40.0,60.468,59.968,60.812,60.25,59.437,60.75
08-11-2026 17:56:25,3753,7607,1411,16384,47.166666666666664,0.0,6499,VDD_IN,9605,1211,1512,6032,6499,1549,1594,44.0,40.0,46.0,58.0,48.0,47.0,60.156,59.906,60.718,60.187,59.187,60.718
08-11-2026 17:56:26,5535,7607,1410,16384,15.666666666666666,12.0,7097,VDD_IN,10440,1268,1552,6210,7097,1589,1791,4.0,2.0,5.0,83.0,0.0,0.0,60.125,59.906,60.5,59.968,59.093,60.5
08-11-2026 17:56:27,6080,7607,1410,16384,18.0,54.0,14413,VDD_IN,24286,2058,6798,7382,14413,1801,3075,4.0,2.0,2.0,99.0,1.0,0.0,60.875,61.625,60.656,60.093,59.687,61.625
08-11-2026 17:56:28,6085,7607,1410,16384,19.833333333333332,97.0,17408,VDD_IN,29815,2876,8602,8635,17408,2052,3805,10.0,89.0,10.0,7.0,0.0,3.0,61.125,62.312,60.937,60.312,60.125,62.312
08-11-2026 17:56:29,6599,7607,1410,16384,18.666666666666668,98.0,17565,VDD_IN,29998,3502,8510,9627,17565,2260,3923,8.0,97.0,2.0,2.0,3.0,0.0,61.062,62.5,61.093,60.093,60.406,62.5
08-11-2026 17:56:30,6600,7607,1410,16384,16.5,98.0,17722,VDD_IN,30311,4011,8588,10437,17722,2434,4001,3.0,92.0,2.0,1.0,0.0,1.0,61.218,62.625,61.156,60.25,60.437,62.625
