timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 20:51:22,2014,7607,1423,16384,7.0,0.0,5288,VDD_IN,7490,720,720,5288,5288,1482,1482,8.0,4.0,3.0,19.0,4.0,4.0,48.718,49.093,48.968,48.625,47.437,48.968
08-11-2026 20:51:23,2283,7607,1423,16384,23.0,0.0,5920,VDD_IN,8598,939,1158,5604,5920,1501,1520,13.0,70.0,12.0,21.0,10.0,12.0,48.593,48.812,48.906,48.5,47.375,48.906
08-11-2026 20:51:24,3491,7607,1422,16384,31.666666666666668,0.0,6440,VDD_IN,9434,1078,1357,5883,6440,1546,1637,21.0,23.0,82.0,19.0,23.0,22.0,49.031,48.968,49.093,48.531,47.437,49.093
08-11-2026 20:51:25,4609,7607,1422,16384,14.333333333333334,99.0,11048,VDD_IN,17825,1938,4516,7174,11048,1725,2261,4.0,2.0,44.0,2.0,31.0,3.0,49.156,50.531,49.031,48.625,47.843,50.531
08-11-2026 20:51:26,4610,7607,1422,16384,18.333333333333332,99.0,15479,VDD_IN,26021,2918,6837,8835,15479,2121,3705,67.0,8.0,8.0,24.0,1.0,2.0,50.281,51.468,49.5,48.937,48.531,51.468
08-11-2026 20:51:27,4615,7607,1422,16384,17.833333333333332,99.0,15927,VDD_IN,26896,3597,6994,10017,15927,2430,3975,53.0,6.0,21.0,24.0,1.0,2.0,50.125,51.437,49.781,49.218,48.968,51.437
08-11-2026 20:51:28,4615,7607,1422,16384,2.6666666666666665,99.0,15558,VDD_IN,26180,4032,6641,10809,15558,2652,3981,6.0,4.0,6.0,0.0,0.0,0.0,50.375,51.906,50.062,49.218,49.062,51.906
08-11-2026 20:51:29,4619,7607,1422,16384,6.666666666666667,99.0,15848,VDD_IN,26739,4383,6837,11439,15848,2827,4054,8.0,15.0,6.0,9.0,1.0,1.0,50.687,52.187,50.125,49.468,49.343,52.187
08-11-2026 20:51:30,4620,7607,1422,16384,2.3333333333333335,99.0,15651,VDD_IN,26352,4638,6680,11907,15651,2960,4021,2.0,2.0,9.0,1.0,0.0,0.0,50.968,52.218,50.375,49.718,49.468,52.218
08-11-2026 20:51:31,4624,7607,1422,16384,3.3333333333333335,99.0,15597,VDD_IN,26179,4834,6601,12276,15597,3062,3981,2.0,1.0,9.0,3.0,1.0,4.0,51.375,52.312,50.531,49.937,49.843,52.312
08-11-2026 20:51:32,4627,7607,1422,16384,16.833333333333332,99.0,15966,VDD_IN,26963,5033,7022,12611,15966,3145,3975,66.0,4.0,19.0,9.0,2.0,1.0,51.062,52.781,50.812,49.906,49.968,52.781
08-11-2026 20:51:33,4594,7607,1422,16384,5.5,0.0,12835,VDD_IN,21212,5025,4936,12630,12835,3169,3441,5.0,0.0,1.0,8.0,5.0,14.0,51.125,51.625,51.0,50.25,49.781,51.625
