timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 20:52:41,2030,7607,1407,16384,1.3333333333333333,0.0,5096,VDD_IN,7140,600,600,5096,5096,1444,1444,2.0,1.0,2.0,1.0,0.0,2.0,54.25,53.937,54.656,54.437,53.093,54.656
08-11-2026 20:52:42,2264,7607,1407,16384,22.5,5.0,5880,VDD_IN,8518,859,1118,5488,5880,1482,1520,13.0,14.0,79.0,14.0,7.0,8.0,54.218,53.906,54.718,54.125,52.937,54.718
08-11-2026 20:52:43,3390,7607,1407,16384,31.833333333333332,4.0,7148,VDD_IN,10739,1184,1834,6041,7148,1574,1757,31.0,70.0,24.0,20.0,23.0,23.0,54.125,54.031,54.5,54.281,53.0,54.5
08-11-2026 20:52:44,4224,7607,1407,16384,18.333333333333332,97.0,14436,VDD_IN,24285,2610,6888,8140,14436,1921,2961,4.0,99.0,2.0,4.0,0.0,1.0,54.843,56.093,54.687,54.25,53.718,56.093
08-11-2026 20:52:45,4768,7607,1406,16384,23.0,98.0,16649,VDD_IN,28299,3678,7951,9842,16649,2276,3699,16.0,53.0,11.0,16.0,41.0,1.0,55.218,56.406,54.937,54.5,54.187,56.406
08-11-2026 20:52:46,5284,7607,1406,16384,18.833333333333332,97.0,16885,VDD_IN,28529,4345,7676,11016,16885,2558,3968,7.0,4.0,1.0,2.0,97.0,2.0,55.531,56.625,55.312,54.562,54.468,56.625
08-11-2026 20:52:47,5283,7607,1406,16384,18.666666666666668,97.0,17397,VDD_IN,29474,4860,7951,11927,17397,2782,4126,11.0,5.0,2.0,2.0,92.0,0.0,55.812,56.937,55.468,54.718,54.593,56.937
08-11-2026 20:52:48,5284,7607,1406,16384,16.833333333333332,99.0,17357,VDD_IN,29277,5222,7755,12606,17357,2955,4165,1.0,2.0,2.0,2.0,92.0,2.0,56.062,56.937,55.531,54.812,54.843,56.937
08-11-2026 20:52:49,5285,7607,1406,16384,17.0,99.0,17239,VDD_IN,29315,5529,7990,13121,17239,3081,4086,2.0,6.0,0.0,2.0,91.0,1.0,56.375,56.968,55.75,55.031,55.0,56.968
08-11-2026 20:52:50,5285,7607,1406,16384,16.833333333333332,99.0,17279,VDD_IN,29590,5818,8421,13537,17279,3162,3890,2.0,2.0,1.0,2.0,93.0,1.0,56.093,57.687,55.843,55.187,55.187,57.687
08-11-2026 20:52:51,5286,7607,1406,16384,16.5,99.0,17554,VDD_IN,30007,6064,8524,13902,17554,3231,3929,2.0,0.0,2.0,1.0,92.0,2.0,56.187,57.75,56.031,55.187,55.312,57.75
08-11-2026 20:52:52,5290,7607,1406,16384,22.166666666666668,97.0,17554,VDD_IN,30125,6282,8681,14206,17554,3286,3890,4.0,16.0,9.0,7.0,96.0,1.0,56.437,57.781,56.031,55.218,55.437,57.781
08-11-2026 20:52:53,5290,7607,1406,16384,18.333333333333332,97.0,17565,VDD_IN,30214,6473,8759,14465,17565,3333,3890,4.0,3.0,2.0,2.0,97.0,2.0,56.812,57.968,56.156,55.468,55.562,57.968
08-11-2026 20:52:54,5291,7607,1406,16384,17.166666666666668,99.0,17593,VDD_IN,30124,6628,8641,14688,17593,3373,3890,5.0,1.0,2.0,1.0,92.0,2.0,56.75,58.0,56.312,55.562,55.718,58.0
08-11-2026 20:52:55,5291,7607,1406,16384,17.833333333333332,97.0,17633,VDD_IN,30164,6762,8641,14884,17633,3407,3890,4.0,1.0,7.0,3.0,92.0,0.0,56.593,58.0,56.5,55.531,55.75,58.0
08-11-2026 20:52:56,5292,7607,1406,16384,16.833333333333332,97.0,17593,VDD_IN,30085,6875,8563,15054,17593,3440,3929,4.0,2.0,1.0,0.0,92.0,2.0,56.781,58.156,56.656,55.625,55.937,58.156
08-11-2026 20:52:57,5292,7607,1405,16384,18.666666666666668,97.0,17565,VDD_IN,30057,6974,8563,15201,17565,3468,3929,3.0,5.0,4.0,4.0,94.0,2.0,56.937,58.25,56.562,55.718,55.906,58.25
08-11-2026 20:52:58,5293,7607,1405,16384,18.666666666666668,97.0,17672,VDD_IN,30125,7058,8485,15339,17672,3496,3968,5.0,5.0,7.0,2.0,93.0,0.0,57.25,58.343,56.656,55.937,56.031,58.343
08-11-2026 20:52:59,5298,7607,1405,16384,20.333333333333332,97.0,17593,VDD_IN,29969,7127,8368,15457,17593,3523,4008,4.0,9.0,12.0,6.0,91.0,0.0,57.125,58.406,56.781,56.062,56.093,58.406
08-11-2026 20:53:00,5299,7607,1405,16384,17.166666666666668,98.0,17486,VDD_IN,29783,7183,8250,15559,17486,3549,4047,3.0,5.0,1.0,2.0,92.0,0.0,57.125,58.75,56.968,56.031,56.25,58.75
08-11-2026 20:53:01,5299,7607,1405,16384,17.166666666666668,97.0,17475,VDD_IN,29616,7224,8055,15650,17475,3575,4086,3.0,4.0,2.0,2.0,92.0,0.0,57.25,58.718,57.125,56.125,56.281,58.718
08-11-2026 20:53:02,5300,7607,1405,16384,17.166666666666668,97.0,17436,VDD_IN,29500,7255,7899,15731,17436,3602,4165,2.0,2.0,4.0,2.0,93.0,0.0,57.5,58.843,57.031,56.218,56.375,58.843
08-11-2026 20:53:03,5300,7607,1405,16384,16.833333333333332,99.0,17436,VDD_IN,29382,7275,7703,15805,17436,3630,4243,3.0,0.0,4.0,2.0,92.0,0.0,58.125,58.406,57.187,56.406,56.5,58.406
