timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 20:53:36,2037,7607,1403,16384,2.0,0.0,5176,VDD_IN,7299,641,641,5176,5176,1482,1482,4.0,1.0,6.0,1.0,0.0,0.0,55.812,55.687,56.718,56.281,55.218,56.812
08-11-2026 20:53:37,2264,7607,1403,16384,21.0,0.0,5880,VDD_IN,8518,880,1118,5528,5880,1501,1520,14.0,11.0,31.0,57.0,7.0,6.0,56.218,55.687,56.781,56.281,55.062,56.781
08-11-2026 20:53:38,2834,7607,1403,16384,38.333333333333336,0.0,6589,VDD_IN,9820,1144,1674,5882,6589,1520,1557,33.0,42.0,48.0,34.0,33.0,40.0,56.468,55.625,56.468,56.093,55.093,56.468
08-11-2026 20:53:39,3573,7607,1403,16384,57.166666666666664,0.0,6868,VDD_IN,10259,1307,1794,6128,6868,1539,1597,51.0,64.0,55.0,53.0,59.0,61.0,56.281,55.531,56.343,56.093,54.968,56.343
08-11-2026 20:53:40,4539,7607,1403,16384,11.833333333333334,95.0,8452,VDD_IN,13104,1594,2742,6593,8452,1613,1910,4.0,62.0,3.0,2.0,0.0,0.0,55.843,56.375,56.343,55.937,55.0,56.375
08-11-2026 20:53:41,4540,7607,1403,16384,2.3333333333333335,99.0,12241,VDD_IN,20106,2203,5251,7534,12241,1780,2614,3.0,6.0,0.0,5.0,0.0,0.0,56.093,57.031,56.625,55.968,55.312,57.031
08-11-2026 20:53:42,4543,7607,1403,16384,2.8333333333333335,99.0,13289,VDD_IN,22090,2688,5598,8356,13289,1983,3203,3.0,10.0,2.0,2.0,0.0,0.0,56.562,57.406,56.531,56.062,55.562,57.406
08-11-2026 20:53:43,4545,7607,1403,16384,3.0,99.0,13447,VDD_IN,22445,3057,5637,8993,13447,2156,3361,4.0,1.0,4.0,9.0,0.0,0.0,56.562,57.437,56.718,56.125,55.718,57.437
08-11-2026 20:53:44,4552,7607,1403,16384,6.5,61.0,13882,VDD_IN,23260,3364,5825,9536,13882,2311,3553,16.0,10.0,6.0,7.0,0.0,0.0,57.125,57.562,56.781,56.25,55.906,57.562
08-11-2026 20:53:45,4551,7607,1403,16384,3.0,74.0,13764,VDD_IN,23034,3596,5677,9959,13764,2439,3593,5.0,4.0,8.0,1.0,0.0,0.0,56.781,57.75,56.906,56.125,55.968,57.75
08-11-2026 20:53:46,4554,7607,1403,16384,2.5,96.0,14001,VDD_IN,23418,3795,5785,10326,14001,2547,3632,12.0,1.0,1.0,1.0,0.0,0.0,56.906,57.812,57.031,56.156,55.968,57.812
08-11-2026 20:53:47,4555,7607,1403,16384,2.3333333333333335,99.0,14120,VDD_IN,23616,3967,5864,10642,14120,2638,3632,2.0,2.0,8.0,2.0,0.0,0.0,57.187,57.968,56.875,56.218,56.062,57.968
08-11-2026 20:53:48,4558,7607,1403,16384,2.8333333333333335,96.0,14040,VDD_IN,23457,4107,5785,10904,14040,2714,3632,3.0,4.0,6.0,2.0,2.0,0.0,56.968,57.937,56.968,56.406,56.093,58.031
08-11-2026 20:53:49,4560,7607,1403,16384,2.8333333333333335,91.0,14159,VDD_IN,23735,4235,5904,11136,14159,2783,3672,1.0,3.0,1.0,1.0,7.0,4.0,57.312,58.218,57.062,56.531,56.125,58.218
08-11-2026 20:53:50,4562,7607,1403,16384,2.5,88.0,14278,VDD_IN,23893,4349,5943,11346,14278,2842,3672,2.0,2.0,3.0,1.0,0.0,7.0,56.968,58.343,57.187,56.375,56.093,58.343
08-11-2026 20:53:51,4566,7607,1402,16384,7.166666666666667,89.0,14294,VDD_IN,24027,4456,6061,11530,14294,2894,3672,6.0,8.0,17.0,4.0,0.0,8.0,57.187,58.437,57.031,56.406,56.187,58.437
