timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 15:03:47,3323,7607,0,16384,1.6666666666666667,0.0,5096,VDD_IN,7138,560,560,5096,5096,1482,1482,3.0,2.0,1.0,1.0,1.0,2.0,48.468,48.937,48.906,48.593,47.375,48.937
08-11-2026 15:03:48,3610,7607,0,16384,22.666666666666668,6.0,5960,VDD_IN,8678,879,1198,5528,5960,1501,1520,13.0,19.0,11.0,69.0,13.0,11.0,49.031,49.031,48.843,48.562,47.5,49.031
08-11-2026 15:03:49,4332,7607,0,16384,44.666666666666664,99.0,8054,VDD_IN,12435,1435,2547,6370,8054,1612,1834,48.0,23.0,81.0,28.0,61.0,27.0,49.156,49.593,48.906,48.593,47.718,49.593
08-11-2026 15:03:50,4926,7607,0,16384,24.333333333333332,99.0,13112,VDD_IN,21645,2508,5725,8056,13112,1911,2808,31.0,9.0,65.0,6.0,35.0,0.0,49.781,50.718,49.281,49.0,48.312,50.718
08-11-2026 15:03:51,4929,7607,0,16384,3.6666666666666665,99.0,15809,VDD_IN,26503,3342,6680,9606,15809,2332,4014,0.0,2.0,2.0,1.0,14.0,3.0,49.843,51.468,49.687,48.968,48.718,51.468
08-11-2026 15:03:52,4932,7607,0,16384,3.5,99.0,15848,VDD_IN,26621,3898,6680,10647,15848,2625,4093,2.0,2.0,1.0,2.0,0.0,14.0,50.343,51.718,49.906,49.218,49.062,51.718
08-11-2026 15:03:53,4934,7607,0,16384,3.1666666666666665,99.0,15809,VDD_IN,26582,4290,6641,11384,15809,2840,4132,2.0,1.0,1.0,1.0,0.0,14.0,50.843,51.968,50.062,49.406,49.187,51.968
08-11-2026 15:03:54,4982,7607,0,16384,9.0,99.0,16006,VDD_IN,26964,4607,6826,11962,16006,3002,4132,8.0,4.0,17.0,8.0,0.0,17.0,50.687,52.25,50.281,49.656,49.531,52.25
08-11-2026 15:03:55,4986,7607,0,16384,18.5,99.0,16518,VDD_IN,27947,4906,7297,12468,16518,3127,4132,20.0,7.0,4.0,66.0,0.0,14.0,51.437,52.75,50.468,50.0,49.906,52.75
08-11-2026 15:03:56,4989,7607,0,16384,3.8333333333333335,99.0,15966,VDD_IN,26885,5094,6787,12818,15966,3228,4132,2.0,4.0,2.0,1.0,0.0,14.0,51.062,52.875,50.875,49.875,49.968,52.875
08-11-2026 15:03:57,4952,7607,0,16384,8.166666666666666,0.0,11009,VDD_IN,17946,4977,3803,12653,11009,3219,3134,26.0,2.0,2.0,3.0,5.0,11.0,51.125,51.531,50.687,50.093,49.687,51.531
