timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 15:20:31,3316,7607,2,16384,1.3333333333333333,0.0,5216,VDD_IN,7379,681,681,5216,5216,1482,1482,2.0,2.0,2.0,1.0,1.0,0.0,54.531,54.812,55.0,54.562,53.75,55.0
08-11-2026 15:20:32,3498,7607,2,16384,20.166666666666668,0.0,5800,VDD_IN,8398,900,1118,5508,5800,1481,1480,12.0,69.0,11.0,14.0,7.0,8.0,54.843,54.375,54.968,54.562,53.531,54.968
08-11-2026 15:20:33,4067,7607,2,16384,35.666666666666664,0.0,6400,VDD_IN,9474,1105,1517,5805,6400,1506,1557,44.0,35.0,30.0,24.0,30.0,51.0,54.5,54.281,54.875,54.375,53.593,54.875
08-11-2026 15:20:34,4853,7607,2,16384,58.666666666666664,0.0,6789,VDD_IN,10180,1278,1794,6051,6789,1529,1597,56.0,58.0,56.0,57.0,60.0,65.0,54.718,54.125,54.656,54.281,53.375,54.718
08-11-2026 15:20:35,6006,7607,2,16384,28.0,99.0,7894,VDD_IN,12076,1492,2348,6420,7894,1590,1834,20.0,27.0,16.0,28.0,72.0,5.0,54.437,54.625,54.687,54.406,53.281,54.687
08-11-2026 15:20:37,6009,7607,2,16384,3.1666666666666665,99.0,14808,VDD_IN,24760,2304,6365,7818,14808,1923,3587,3.0,0.0,2.0,2.0,12.0,0.0,54.875,56.062,54.968,54.562,54.093,56.062
08-11-2026 15:20:38,6009,7607,2,16384,3.6666666666666665,99.0,15572,VDD_IN,26226,2940,6758,8926,15572,2205,3896,2.0,2.0,2.0,0.0,12.0,4.0,55.187,56.562,55.25,54.625,54.375,56.562
08-11-2026 15:20:39,6011,7607,2,16384,7.666666666666667,99.0,15690,VDD_IN,26412,3426,6826,9771,15690,2416,3896,6.0,17.0,2.0,10.0,11.0,0.0,55.531,56.625,55.5,54.656,54.531,56.625
08-11-2026 15:20:40,6011,7607,2,16384,5.333333333333333,99.0,15651,VDD_IN,26373,3804,6826,10424,15651,2581,3896,3.0,7.0,6.0,4.0,12.0,0.0,55.593,56.875,55.437,54.75,54.75,56.875
08-11-2026 15:20:41,6013,7607,2,16384,3.3333333333333335,99.0,15651,VDD_IN,26334,4102,6787,10947,15651,2712,3896,3.0,2.0,1.0,2.0,12.0,0.0,55.812,57.187,55.562,54.812,54.75,57.187
