08-11-2026 15:23:38 RAM 3270/7607MB (lfb 100x4MB) SWAP 51/16384MB (cached 33MB) CPU [2%@1036,2%@1036,1%@1036,1%@1036,1%@729,1%@729] GR3D_FREQ 6% cpu@58.468C soc2@57.562C soc0@59.062C gpu@58.093C tj@59.062C soc1@58.625C VDD_IN 5328mW/5328mW VDD_CPU_GPU_CV 720mW/720mW VDD_SOC 1522mW/1522mW
08-11-2026 15:23:39 RAM 3469/7607MB (lfb 100x4MB) SWAP 51/16384MB (cached 33MB) CPU [31%@1344,10%@1344,53%@1344,11%@1344,7%@729,6%@729] GR3D_FREQ 0% cpu@58.281C soc2@57.531C soc0@58.875C gpu@57.968C tj@58.906C soc1@58.281C VDD_IN 5880mW/5604mW VDD_CPU_GPU_CV 1158mW/939mW VDD_SOC 1517mW/1520mW
08-11-2026 15:23:40 RAM 4179/7607MB (lfb 100x4MB) SWAP 51/16384MB (cached 33MB) CPU [64%@1344,27%@1344,23%@1344,28%@1344,22%@729,23%@729] GR3D_FREQ 0% cpu@58.281C soc2@57.281C soc0@58.781C gpu@58.125C tj@58.781C soc1@58.281C VDD_IN 6509mW/5906mW VDD_CPU_GPU_CV 1475mW/1118mW VDD_SOC 1637mW/1559mW
08-11-2026 15:23:41 RAM 5476/7607MB (lfb 5x4MB) SWAP 51/16384MB (cached 33MB) CPU [92%@1344,6%@1344,3%@1344,3%@1344,1%@729,1%@729] GR3D_FREQ 98% cpu@58.718C soc2@57.562C soc0@58.562C gpu@59.468C tj@59.468C soc1@58.125C VDD_IN 11546mW/7316mW VDD_CPU_GPU_CV 5102mW/2114mW VDD_SOC 2258mW/1734mW
08-11-2026 15:23:42 RAM 6024/7607MB (lfb 4x4MB) SWAP 51/16384MB (cached 33MB) CPU [9%@729,23%@729,6%@729,8%@729,87%@1344,0%@1344] GR3D_FREQ 97% cpu@59.375C soc2@57.968C soc0@58.937C gpu@59.968C tj@59.968C soc1@58.312C VDD_IN 15730mW/8999mW VDD_CPU_GPU_CV 7061mW/3103mW VDD_SOC 3542mW/2095mW
08-11-2026 15:23:43 RAM 6632/7607MB (lfb 2x4MB) SWAP 51/16384MB (cached 33MB) CPU [7%@1190,6%@1190,4%@1190,15%@1190,100%@1344,0%@1344] GR3D_FREQ 99% cpu@59.625C soc2@58.281C soc0@59.125C gpu@59.75C tj@59.75C soc1@58.468C VDD_IN 16491mW/10247mW VDD_CPU_GPU_CV 7089mW/3768mW VDD_SOC 4086mW/2427mW
08-11-2026 15:23:44 RAM 6794/7607MB (lfb 6x2MB) SWAP 51/16384MB (cached 33MB) CPU [5%@729,1%@729,0%@729,12%@729,91%@1344,0%@1344] GR3D_FREQ 99% cpu@59.468C soc2@58.531C soc0@59.312C gpu@60.437C tj@60.437C soc1@58.406C VDD_IN 17486mW/11281mW VDD_CPU_GPU_CV 8211mW/4402mW VDD_SOC 4080mW/2663mW
08-11-2026 15:23:45 RAM 6793/7607MB (lfb 2x4MB) SWAP 51/16384MB (cached 33MB) CPU [15%@729,2%@729,2%@729,3%@729,86%@1344,0%@1344] GR3D_FREQ 99% cpu@59.593C soc2@58.625C soc0@59.531C gpu@60.875C tj@60.875C soc1@58.531C VDD_IN 17761mW/12091mW VDD_CPU_GPU_CV 8446mW/4908mW VDD_SOC 4080mW/2840mW
08-11-2026 15:23:46 RAM 6793/7607MB (lfb 2x4MB) SWAP 51/16384MB (cached 33MB) CPU [6%@729,3%@729,2%@729,1%@729,89%@729,0%@729] GR3D_FREQ 99% cpu@59.687C soc2@58.812C soc0@59.375C gpu@60.937C tj@60.937C soc1@58.656C VDD_IN 17447mW/12686mW VDD_CPU_GPU_CV 8329mW/5288mW VDD_SOC 4001mW/2969mW
08-11-2026 15:23:47 RAM 6795/7607MB (lfb 2x4MB) SWAP 51/16384MB (cached 33MB) CPU [11%@729,6%@729,17%@729,3%@729,92%@1036,2%@1036] GR3D_FREQ 99% cpu@60C soc2@58.812C soc0@59.468C gpu@61.156C tj@61.156C soc1@58.718C VDD_IN 17722mW/13190mW VDD_CPU_GPU_CV 8602mW/5619mW VDD_SOC 3962mW/3069mW
08-11-2026 15:23:48 RAM 6795/7607MB (lfb 2x4MB) SWAP 51/16384MB (cached 33MB) CPU [1%@729,5%@729,2%@729,2%@729,91%@1344,0%@1344] GR3D_FREQ 98% cpu@59.937C soc2@58.937C soc0@59.625C gpu@61.281C tj@61.281C soc1@58.875C VDD_IN 17683mW/13598mW VDD_CPU_GPU_CV 8759mW/5905mW VDD_SOC 3923mW/3146mW
