08-11-2026 15:24:27 RAM 3203/7607MB (lfb 112x4MB) SWAP 158/16384MB (cached 87MB) CPU [2%@1036,1%@1036,1%@1036,2%@1036,1%@729,1%@729] GR3D_FREQ 0% cpu@59.718C soc2@58.875C soc0@60.312C gpu@59.187C tj@60.312C soc1@59.718C VDD_IN 5256mW/5256mW VDD_CPU_GPU_CV 681mW/681mW VDD_SOC 1482mW/1482mW
08-11-2026 15:24:28 RAM 3340/7607MB (lfb 112x4MB) SWAP 158/16384MB (cached 87MB) CPU [51%@1036,18%@1036,12%@1036,10%@1036,8%@729,8%@729] GR3D_FREQ 0% cpu@59.343C soc2@58.656C soc0@60.156C gpu@59.156C tj@60.156C soc1@59.656C VDD_IN 5800mW/5528mW VDD_CPU_GPU_CV 1078mW/880mW VDD_SOC 1517mW/1500mW
08-11-2026 15:24:29 RAM 3703/7607MB (lfb 112x4MB) SWAP 158/16384MB (cached 87MB) CPU [35%@1344,53%@1344,20%@1344,18%@1344,11%@1344,12%@1344] GR3D_FREQ 0% cpu@59.625C soc2@58.531C soc0@59.968C gpu@58.968C tj@59.968C soc1@59.406C VDD_IN 6190mW/5749mW VDD_CPU_GPU_CV 1315mW/1025mW VDD_SOC 1557mW/1519mW
08-11-2026 15:24:30 RAM 4511/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [56%@1344,54%@1344,56%@1344,53%@1344,58%@1190,62%@1190] GR3D_FREQ 0% cpu@59.5C soc2@58.437C soc0@59.656C gpu@58.781C tj@59.656C soc1@59.281C VDD_IN 6749mW/5999mW VDD_CPU_GPU_CV 1794mW/1217mW VDD_SOC 1594mW/1538mW
08-11-2026 15:24:31 RAM 5342/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [26%@1344,21%@1344,51%@1344,48%@1344,22%@729,21%@729] GR3D_FREQ 0% cpu@59.343C soc2@58.218C soc0@59.625C gpu@58.843C tj@59.625C soc1@59.125C VDD_IN 6469mW/6093mW VDD_CPU_GPU_CV 1395mW/1253mW VDD_SOC 1634mW/1557mW
08-11-2026 15:24:32 RAM 6019/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [3%@1344,2%@1344,3%@1344,38%@1344,0%@729,0%@729] GR3D_FREQ 99% cpu@59.75C soc2@58.687C soc0@59.593C gpu@60.468C tj@60.468C soc1@59.156C VDD_IN 13131mW/7266mW VDD_CPU_GPU_CV 5558mW/1970mW VDD_SOC 2961mW/1791mW
08-11-2026 15:24:33 RAM 6110/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,1%@729,18%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@59.812C soc2@59.125C soc0@59.875C gpu@60.906C tj@60.906C soc1@59.062C VDD_IN 15848mW/8492mW VDD_CPU_GPU_CV 6747mW/2653mW VDD_SOC 4014mW/2108mW
08-11-2026 15:24:34 RAM 6113/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [10%@729,10%@729,21%@729,8%@729,2%@729,0%@729] GR3D_FREQ 99% cpu@60C soc2@59.156C soc0@60.125C gpu@61.031C tj@61.031C soc1@59.156C VDD_IN 16058mW/9438mW VDD_CPU_GPU_CV 6904mW/3184mW VDD_SOC 4054mW/2352mW
08-11-2026 15:24:35 RAM 6115/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [9%@729,1%@729,1%@729,9%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.25C soc2@59.218C soc0@60C gpu@61.156C tj@61.156C soc1@59.281C VDD_IN 16137mW/10182mW VDD_CPU_GPU_CV 6904mW/3597mW VDD_SOC 4126mW/2549mW
08-11-2026 15:24:36 RAM 6118/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [16%@806,1%@806,1%@806,1%@806,0%@729,0%@729] GR3D_FREQ 99% cpu@60.5C soc2@59.343C soc0@60.156C gpu@61.437C tj@61.437C soc1@59.312C VDD_IN 16216mW/10785mW VDD_CPU_GPU_CV 6932mW/3931mW VDD_SOC 4126mW/2707mW
08-11-2026 15:24:37 RAM 6120/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [15%@729,1%@729,1%@729,1%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@60.312C soc2@59.406C soc0@60.125C gpu@61.437C tj@61.437C soc1@59.437C VDD_IN 16216mW/11279mW VDD_CPU_GPU_CV 6932mW/4204mW VDD_SOC 4126mW/2836mW
08-11-2026 15:24:38 RAM 6174/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [6%@729,2%@729,2%@729,13%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@60.156C soc2@59.5C soc0@60.312C gpu@61.625C tj@61.625C soc1@59.343C VDD_IN 16098mW/11681mW VDD_CPU_GPU_CV 6904mW/4429mW VDD_SOC 4126mW/2943mW
08-11-2026 15:24:39 RAM 6179/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [9%@729,3%@729,4%@729,18%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.531C soc2@59.562C soc0@60.281C gpu@61.562C tj@61.406C soc1@59.5C VDD_IN 16295mW/12036mW VDD_CPU_GPU_CV 6971mW/4624mW VDD_SOC 4126mW/3034mW
08-11-2026 15:24:40 RAM 6183/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [16%@729,3%@729,4%@729,11%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.468C soc2@59.531C soc0@60.281C gpu@61.562C tj@61.562C soc1@59.468C VDD_IN 16255mW/12337mW VDD_CPU_GPU_CV 6971mW/4792mW VDD_SOC 4126mW/3112mW
08-11-2026 15:24:41 RAM 6186/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [14%@729,1%@729,1%@729,5%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.718C soc2@59.593C soc0@60.343C gpu@61.625C tj@61.625C soc1@59.562C VDD_IN 16176mW/12593mW VDD_CPU_GPU_CV 6932mW/4935mW VDD_SOC 4126mW/3180mW
08-11-2026 15:24:42 RAM 6189/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [4%@729,2%@729,1%@729,11%@729,0%@729,1%@729] GR3D_FREQ 99% cpu@60.375C soc2@59.625C soc0@60.468C gpu@61.593C tj@61.593C soc1@59.531C VDD_IN 16098mW/12812mW VDD_CPU_GPU_CV 6854mW/5055mW VDD_SOC 4126mW/3239mW
08-11-2026 15:24:43 RAM 6188/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [17%@729,4%@729,2%@729,4%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.562C soc2@59.656C soc0@60.468C gpu@61.687C tj@61.687C soc1@59.562C VDD_IN 16176mW/13010mW VDD_CPU_GPU_CV 6893mW/5163mW VDD_SOC 4165mW/3293mW
08-11-2026 15:24:44 RAM 6191/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [14%@729,1%@729,2%@729,3%@729,2%@729,0%@729] GR3D_FREQ 99% cpu@60.718C soc2@59.718C soc0@60.375C gpu@62C tj@62C soc1@59.593C VDD_IN 16176mW/13186mW VDD_CPU_GPU_CV 6904mW/5259mW VDD_SOC 4086mW/3337mW
08-11-2026 15:24:45 RAM 6194/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [15%@729,2%@729,11%@729,18%@729,2%@729,1%@729] GR3D_FREQ 99% cpu@60.656C soc2@59.75C soc0@60.312C gpu@61.968C tj@61.968C soc1@59.625C VDD_IN 16255mW/13347mW VDD_CPU_GPU_CV 6971mW/5349mW VDD_SOC 4126mW/3379mW
