timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 15:33:14,2716,7607,776,16384,1.6666666666666667,0.0,5112,VDD_IN,7160,602,602,5112,5112,1446,1446,2.0,1.0,1.0,1.0,2.0,3.0,55.656,55.093,56.093,55.875,54.531,56.093
08-11-2026 15:33:15,2916,7607,775,16384,25.333333333333332,0.0,6080,VDD_IN,8912,959,1315,5596,6080,1482,1517,14.0,27.0,12.0,59.0,15.0,25.0,55.625,55.25,55.968,55.875,54.562,55.968
08-11-2026 15:33:16,3450,7607,775,16384,30.166666666666668,0.0,6429,VDD_IN,9499,1144,1515,5874,6429,1506,1555,55.0,29.0,31.0,22.0,21.0,23.0,55.687,55.218,56.062,55.718,54.406,56.062
08-11-2026 15:33:17,4281,7607,775,16384,58.666666666666664,0.0,6829,VDD_IN,10254,1316,1831,6113,6829,1528,1594,54.0,57.0,56.0,56.0,66.0,63.0,55.875,55.156,55.812,55.562,54.437,55.875
08-11-2026 15:33:18,5929,7607,775,16384,19.666666666666668,0.0,7336,VDD_IN,10838,1395,1711,6357,7336,1581,1791,7.0,6.0,91.0,6.0,4.0,4.0,55.843,55.187,55.843,55.593,54.375,55.843
08-11-2026 15:33:19,6503,7607,775,16384,33.833333333333336,99.0,15059,VDD_IN,25543,2365,7218,7808,15059,1862,3266,24.0,4.0,27.0,70.0,77.0,1.0,56.531,57.093,56.187,55.843,55.312,57.093
08-11-2026 15:33:20,6505,7607,775,16384,31.5,97.0,17526,VDD_IN,30090,3284,8798,9196,17526,2134,3766,65.0,3.0,23.0,8.0,89.0,1.0,56.593,57.937,56.468,55.875,55.718,57.937
08-11-2026 15:33:21,6922,7607,798,16384,30.166666666666668,97.0,16255,VDD_IN,27586,3823,7598,10078,16255,2334,3733,24.0,31.0,15.0,12.0,94.0,5.0,56.781,57.843,56.531,56.031,55.656,58.031
08-11-2026 15:33:22,6926,7607,798,16384,18.333333333333332,97.0,17368,VDD_IN,29580,4311,8211,10888,17368,2519,4001,1.0,2.0,4.0,3.0,93.0,7.0,57.25,58.5,56.75,56.156,56.031,58.5
08-11-2026 15:33:23,6927,7607,798,16384,17.0,98.0,17408,VDD_IN,29543,4685,8055,11540,17408,2675,4080,3.0,2.0,4.0,1.0,92.0,0.0,57.187,58.687,56.937,56.375,56.218,58.687
08-11-2026 15:33:24,6929,7607,798,16384,18.166666666666668,97.0,17408,VDD_IN,29465,4981,7938,12074,17408,2806,4119,5.0,0.0,10.0,2.0,92.0,0.0,57.375,58.75,57.125,56.406,56.375,58.75
08-11-2026 15:33:25,6929,7607,798,16384,33.166666666666664,99.0,17801,VDD_IN,30118,5243,8120,12551,17801,2922,4197,7.0,4.0,22.0,74.0,92.0,0.0,57.75,58.843,57.312,56.437,56.625,58.843
08-11-2026 15:33:26,6934,7607,798,16384,23.666666666666668,99.0,17408,VDD_IN,29581,5465,8133,12925,17408,3008,4040,12.0,17.0,14.0,8.0,91.0,0.0,57.875,58.75,57.343,56.625,56.687,58.75
08-11-2026 15:33:27,6934,7607,798,16384,17.166666666666668,99.0,17290,VDD_IN,29580,5675,8407,13236,17290,3071,3883,3.0,1.0,2.0,4.0,93.0,0.0,57.875,58.968,57.406,56.75,56.75,58.968
08-11-2026 15:33:28,6935,7607,798,16384,17.0,99.0,17643,VDD_IN,30207,5870,8602,13530,17643,3130,3962,4.0,3.0,1.0,2.0,92.0,0.0,57.75,59.187,57.625,56.875,56.906,59.187
08-11-2026 15:33:29,6935,7607,798,16384,18.166666666666668,96.0,17526,VDD_IN,29958,6038,8549,13780,17526,3177,3883,5.0,5.0,1.0,2.0,96.0,0.0,57.968,59.218,57.75,56.937,56.968,59.218
08-11-2026 15:33:30,6935,7607,798,16384,18.5,97.0,17604,VDD_IN,30192,6195,8705,14005,17604,3219,3883,6.0,2.0,5.0,2.0,96.0,0.0,58.187,59.468,57.937,56.968,57.156,59.468
08-11-2026 15:33:31,6940,7607,798,16384,37.666666666666664,98.0,18203,VDD_IN,31293,6360,9174,14238,18203,3257,3916,14.0,71.0,11.0,23.0,92.0,15.0,58.437,59.468,57.906,57.125,57.218,59.468
08-11-2026 15:33:32,6941,7607,798,16384,17.666666666666668,97.0,17643,VDD_IN,30232,6481,8666,14417,17643,3292,3923,10.0,2.0,1.0,1.0,92.0,0.0,58.437,59.468,57.968,57.312,57.25,59.468
08-11-2026 15:33:33,6941,7607,798,16384,17.0,99.0,17565,VDD_IN,29998,6583,8510,14575,17565,3324,3923,3.0,2.0,2.0,1.0,93.0,1.0,58.343,59.562,58.218,57.406,57.437,59.562
08-11-2026 15:33:34,6942,7607,798,16384,17.166666666666668,97.0,17565,VDD_IN,30037,6675,8510,14717,17565,3354,3962,3.0,3.0,3.0,2.0,92.0,0.0,58.437,59.687,58.281,57.406,57.5,59.687
08-11-2026 15:33:35,6942,7607,798,16384,17.0,98.0,17486,VDD_IN,29841,6751,8354,14843,17486,3384,4001,1.0,2.0,2.0,5.0,92.0,0.0,58.687,59.718,58.25,57.468,57.593,59.718
08-11-2026 15:33:36,6943,7607,798,16384,19.166666666666668,97.0,17643,VDD_IN,30076,6822,8393,14965,17643,3412,4040,8.0,4.0,3.0,7.0,93.0,0.0,58.937,59.968,58.375,57.656,57.75,59.968
08-11-2026 15:33:37,6944,7607,798,16384,34.833333333333336,97.0,17889,VDD_IN,30472,6893,8510,15087,17889,3440,4073,84.0,8.0,9.0,14.0,92.0,2.0,59.218,60.187,58.468,57.781,57.875,60.187
08-11-2026 15:33:38,6944,7607,798,16384,17.166666666666668,97.0,17486,VDD_IN,29660,6939,8055,15182,17486,3467,4119,2.0,5.0,2.0,2.0,92.0,0.0,58.781,60.156,58.75,57.687,57.937,60.156
08-11-2026 15:33:39,6945,7607,798,16384,16.833333333333332,97.0,17408,VDD_IN,29386,6972,7781,15268,17408,3495,4197,2.0,2.0,3.0,1.0,91.0,2.0,59.125,60.156,58.843,57.875,57.906,60.156
08-11-2026 15:33:40,6945,7607,798,16384,17.666666666666668,99.0,17290,VDD_IN,29308,7006,7899,15343,17290,3518,4119,3.0,5.0,5.0,1.0,92.0,0.0,59.375,59.75,58.843,57.968,58.125,59.75
08-11-2026 15:33:41,6946,7607,798,16384,17.5,99.0,17329,VDD_IN,29659,7056,8407,15414,17329,3533,3923,5.0,2.0,5.0,1.0,92.0,0.0,59.437,60.281,58.906,58.093,58.187,60.281
08-11-2026 15:33:42,6949,7607,798,16384,25.0,99.0,17801,VDD_IN,30429,7111,8666,15496,17801,3547,3962,21.0,20.0,12.0,16.0,79.0,2.0,59.812,60.468,58.937,58.218,58.281,60.468
08-11-2026 15:33:43,6949,7607,798,16384,31.0,99.0,17958,VDD_IN,30814,7172,8940,15578,17958,3560,3916,26.0,5.0,4.0,57.0,94.0,0.0,59.218,60.562,59.125,58.187,58.468,60.562
08-11-2026 15:33:44,6949,7607,798,16384,18.166666666666668,97.0,17683,VDD_IN,30310,7223,8744,15646,17683,3570,3883,7.0,2.0,1.0,2.0,97.0,0.0,59.343,60.718,59.343,58.343,58.375,60.718
08-11-2026 15:33:45,6950,7607,798,16384,16.5,98.0,17643,VDD_IN,30193,7267,8627,15709,17643,3581,3923,3.0,1.0,1.0,2.0,92.0,0.0,59.5,60.718,59.156,58.343,58.468,60.718
08-11-2026 15:33:46,6951,7607,798,16384,17.166666666666668,97.0,17683,VDD_IN,30233,7308,8627,15768,17683,3591,3923,5.0,2.0,1.0,3.0,92.0,0.0,59.875,61.125,59.312,58.5,58.656,61.125
08-11-2026 15:33:47,6952,7607,798,16384,21.666666666666668,97.0,17654,VDD_IN,30243,7347,8627,15824,17654,3602,3962,13.0,3.0,17.0,3.0,92.0,2.0,59.687,61.187,59.5,58.531,58.718,61.187
08-11-2026 15:33:48,6953,7607,798,16384,22.166666666666668,97.0,17929,VDD_IN,30675,7388,8784,15884,17929,3613,3962,7.0,5.0,4.0,25.0,92.0,0.0,59.75,61.312,59.625,58.5,58.843,61.312
08-11-2026 15:33:49,6953,7607,798,16384,28.833333333333332,97.0,17772,VDD_IN,30400,7422,8627,15936,17772,3623,4001,3.0,25.0,3.0,46.0,93.0,3.0,59.718,61.312,59.718,58.718,58.968,61.312
08-11-2026 15:33:50,6954,7607,798,16384,17.333333333333332,97.0,17526,VDD_IN,29881,7447,8315,15979,17526,3635,4040,5.0,3.0,2.0,2.0,92.0,0.0,59.906,61.437,59.625,58.75,58.875,61.437
08-11-2026 15:33:51,6954,7607,798,16384,17.0,97.0,17526,VDD_IN,29778,7466,8172,16020,17526,3646,4080,6.0,1.0,1.0,2.0,92.0,0.0,60.187,61.437,59.687,58.75,58.937,61.437
08-11-2026 15:33:52,6954,7607,798,16384,21.833333333333332,97.0,17683,VDD_IN,30000,7484,8198,16063,17683,3659,4119,11.0,4.0,5.0,7.0,66.0,38.0,60.093,61.218,59.812,58.937,59.031,61.218
08-11-2026 15:33:53,6955,7607,798,16384,16.833333333333332,97.0,17408,VDD_IN,29386,7492,7781,16096,17408,3672,4197,2.0,5.0,0.0,2.0,0.0,92.0,60.343,61.218,59.968,58.906,59.187,61.218
08-11-2026 15:33:54,6957,7607,798,16384,24.166666666666668,99.0,17683,VDD_IN,30039,7509,8198,16135,17683,3684,4158,6.0,4.0,3.0,41.0,0.0,91.0,60.468,60.875,59.875,58.937,59.187,60.875
