timestamp,ram_used_mb,ram_total_mb,swap_used_mb,swap_total_mb,cpu_mean_pct,gr3d_pct,power_total_mW,power_total_source,power_sum_rails_mW,VDD_CPU_GPU_CV_avg_mW,VDD_CPU_GPU_CV_mW,VDD_IN_avg_mW,VDD_IN_mW,VDD_SOC_avg_mW,VDD_SOC_mW,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,temp_cpu_C,temp_gpu_C,temp_soc0_C,temp_soc1_C,temp_soc2_C,temp_tj_C
08-11-2026 15:27:11,3174,7607,214,16384,1.6666666666666667,0.0,5256,VDD_IN,7421,681,681,5256,5256,1484,1484,2.0,1.0,2.0,2.0,1.0,2.0,60.156,59.812,60.75,60.218,59.312,60.75
08-11-2026 15:27:12,3321,7607,214,16384,22.333333333333332,0.0,5830,VDD_IN,8463,899,1116,5543,5830,1501,1517,18.0,59.0,20.0,21.0,8.0,8.0,60.218,59.812,60.531,60.125,59.187,60.531
08-11-2026 15:27:13,3621,7607,214,16384,22.5,0.0,6190,VDD_IN,9062,1037,1315,5759,6190,1519,1557,9.0,63.0,5.0,29.0,23.0,6.0,60.062,59.656,60.375,60.062,58.968,60.343
08-11-2026 15:27:14,4306,7607,214,16384,61.666666666666664,0.0,7028,VDD_IN,10692,1296,2070,6076,7028,1538,1594,51.0,58.0,55.0,52.0,90.0,64.0,60.062,59.625,60.281,59.687,59.0,60.281
08-11-2026 15:27:15,5054,7607,214,16384,44.666666666666664,0.0,6818,VDD_IN,10163,1371,1671,6224,6818,1565,1674,32.0,36.0,36.0,79.0,42.0,43.0,59.843,59.25,60.125,59.562,58.625,60.125
08-11-2026 15:27:16,6402,7607,214,16384,16.166666666666668,97.0,10253,VDD_IN,16436,1829,4120,6896,10253,1648,2063,3.0,2.0,3.0,89.0,0.0,0.0,59.968,60.656,59.937,59.5,58.875,60.656
08-11-2026 15:27:17,6771,7607,341,16384,29.666666666666668,0.0,10713,VDD_IN,17443,2189,4350,7441,10713,1753,2380,11.0,35.0,21.0,70.0,6.0,35.0,60.156,59.718,60.187,59.687,59.093,60.187
08-11-2026 15:27:18,6792,7607,344,16384,19.333333333333332,98.0,16846,VDD_IN,28711,2942,8211,8617,16846,1990,3654,4.0,10.0,10.0,4.0,84.0,4.0,60.375,61.625,60.312,59.843,59.625,61.625
08-11-2026 15:27:19,7288,7607,474,16384,38.833333333333336,97.0,12162,VDD_IN,19786,3181,5093,9011,12162,2050,2531,30.0,50.0,12.0,9.0,45.0,87.0,60.281,61.187,60.218,59.562,59.187,61.187
08-11-2026 15:27:20,7317,7607,541,16384,32.333333333333336,77.0,15296,VDD_IN,25900,3561,6983,9639,15296,2208,3621,7.0,80.0,40.0,11.0,1.0,55.0,60.75,61.406,60.375,59.687,59.562,61.406
08-11-2026 15:27:21,7349,7607,580,16384,20.333333333333332,98.0,17565,VDD_IN,30012,4005,8446,10360,17565,2371,4001,4.0,1.0,23.0,4.0,78.0,12.0,61.125,62.218,60.531,59.812,59.875,62.218
08-11-2026 15:27:22,7345,7607,619,16384,25.166666666666668,98.0,17997,VDD_IN,30860,4413,8901,10996,17997,2503,3962,52.0,5.0,15.0,8.0,66.0,5.0,60.687,62.156,60.531,59.937,59.937,62.156
08-11-2026 15:27:23,7347,7607,619,16384,17.0,98.0,17918,VDD_IN,30703,4752,8823,11529,17918,2615,3962,2.0,3.0,7.0,3.0,87.0,0.0,60.843,62.312,60.687,59.781,59.937,62.312
08-11-2026 15:27:24,7131,7607,619,16384,19.833333333333332,97.0,17368,VDD_IN,29580,5002,8250,11946,17368,2712,3962,77.0,2.0,1.0,5.0,10.0,24.0,61.0,62.312,60.593,59.875,60.156,62.312
08-11-2026 15:27:25,7133,7607,619,16384,22.333333333333332,98.0,18321,VDD_IN,31153,5253,8759,12371,18321,2802,4073,24.0,6.0,30.0,8.0,66.0,0.0,61.5,62.437,60.718,60.031,60.187,62.437
08-11-2026 15:27:26,7134,7607,619,16384,28.666666666666668,99.0,18125,VDD_IN,30942,5468,8705,12730,18125,2884,4112,5.0,4.0,65.0,12.0,86.0,0.0,61.312,62.562,60.906,60.031,60.156,62.562
08-11-2026 15:27:27,7138,7607,619,16384,21.5,98.0,18203,VDD_IN,30825,5645,8471,13052,18203,2959,4151,10.0,10.0,7.0,18.0,84.0,0.0,61.125,62.625,61.0,60.218,60.281,62.625
08-11-2026 15:27:28,7138,7607,618,16384,16.0,98.0,17929,VDD_IN,30396,5789,8237,13323,17929,3029,4230,2.0,5.0,2.0,1.0,86.0,0.0,61.281,62.375,61.125,60.0,60.281,62.375
08-11-2026 15:27:29,7139,7607,618,16384,16.0,98.0,17889,VDD_IN,30285,5914,8159,13564,17889,3093,4237,5.0,1.0,2.0,2.0,86.0,0.0,61.468,62.468,61.0,60.125,60.312,62.468
08-11-2026 15:27:30,7139,7607,618,16384,16.166666666666668,98.0,17889,VDD_IN,30161,6016,7964,13780,17889,3154,4308,2.0,3.0,1.0,5.0,86.0,0.0,61.406,62.5,61.062,60.218,60.343,62.5
08-11-2026 15:27:31,7141,7607,618,16384,19.166666666666668,99.0,17889,VDD_IN,30207,6109,7964,13975,17889,3211,4354,2.0,3.0,4.0,20.0,86.0,0.0,62.031,62.187,61.187,60.281,60.531,62.187
08-11-2026 15:27:32,7143,7607,618,16384,30.0,99.0,18321,VDD_IN,31177,6227,8705,14173,18321,3254,4151,8.0,26.0,8.0,54.0,84.0,0.0,61.468,62.968,61.218,60.25,60.625,62.968
08-11-2026 15:27:33,7143,7607,618,16384,19.0,99.0,17290,VDD_IN,29463,6313,8211,14309,17290,3284,3962,6.0,8.0,13.0,2.0,85.0,0.0,61.375,62.875,61.125,60.312,60.468,62.875
08-11-2026 15:27:34,7143,7607,618,16384,16.833333333333332,99.0,17929,VDD_IN,30551,6405,8510,14459,17929,3319,4112,1.0,2.0,2.0,4.0,0.0,92.0,61.718,62.843,61.312,60.375,60.656,62.843
08-11-2026 15:27:36,7144,7607,618,16384,16.5,98.0,17761,VDD_IN,30428,6498,8744,14591,17761,3343,3923,2.0,5.0,2.0,1.0,0.0,89.0,61.437,63.156,61.281,60.375,60.562,63.156
08-11-2026 15:27:37,7145,7607,618,16384,15.333333333333334,98.0,18046,VDD_IN,30824,6583,8705,14724,18046,3371,4073,3.0,2.0,2.0,1.0,0.0,84.0,61.718,62.906,61.312,60.562,60.687,62.906
08-11-2026 15:27:38,7145,7607,618,16384,21.0,98.0,18046,VDD_IN,30902,6669,8901,14847,18046,3393,3955,4.0,6.0,28.0,6.0,0.0,82.0,61.812,63.0,61.437,60.375,60.656,63.0
08-11-2026 15:27:39,7146,7607,618,16384,30.833333333333332,98.0,18282,VDD_IN,31139,6745,8784,14970,18282,3417,4073,33.0,10.0,41.0,12.0,1.0,88.0,61.781,63.0,61.343,60.531,60.812,63.0
08-11-2026 15:27:40,7147,7607,618,16384,16.166666666666668,98.0,17811,VDD_IN,30439,6808,8588,15068,17811,3438,4040,3.0,2.0,2.0,4.0,0.0,86.0,61.906,63.031,61.406,60.562,60.812,63.031
08-11-2026 15:27:41,7147,7607,618,16384,16.0,98.0,18046,VDD_IN,30707,6865,8510,15167,18046,3462,4151,5.0,2.0,2.0,1.0,0.0,86.0,61.718,63.125,61.562,60.718,60.812,63.125
08-11-2026 15:27:42,7148,7607,618,16384,15.333333333333334,97.0,17879,VDD_IN,30391,6914,8393,15255,17879,3483,4119,2.0,1.0,4.0,2.0,0.0,83.0,61.718,63.437,61.625,60.718,60.875,63.437
08-11-2026 15:27:43,7149,7607,618,16384,16.5,98.0,17929,VDD_IN,30434,6958,8315,15338,17929,3505,4190,6.0,4.0,2.0,1.0,0.0,86.0,61.937,63.406,61.656,60.593,61.0,63.406
08-11-2026 15:27:44,7152,7607,617,16384,27.833333333333332,98.0,18242,VDD_IN,30943,7004,8471,15426,18242,3527,4230,28.0,19.0,7.0,15.0,14.0,84.0,62.062,63.5,61.531,60.656,61.031,63.5
08-11-2026 15:27:45,7153,7607,617,16384,24.833333333333332,98.0,17761,VDD_IN,29975,7031,7938,15495,17761,3549,4276,31.0,21.0,9.0,5.0,0.0,83.0,62.125,63.468,61.625,60.875,60.968,63.468
08-11-2026 15:27:46,7153,7607,617,16384,15.666666666666666,99.0,17879,VDD_IN,30073,7053,7808,15563,17879,3573,4386,2.0,1.0,3.0,2.0,0.0,86.0,62.187,63.125,61.75,60.875,61.125,63.125
08-11-2026 15:27:47,7154,7607,617,16384,15.5,99.0,17486,VDD_IN,29856,7088,8290,15616,17486,3587,4080,3.0,1.0,4.0,3.0,0.0,82.0,61.906,63.375,61.812,60.781,61.125,63.375
08-11-2026 15:27:48,7154,7607,617,16384,16.833333333333332,99.0,18046,VDD_IN,30746,7128,8588,15682,18046,3602,4112,1.0,2.0,7.0,3.0,1.0,87.0,61.937,63.5,61.812,60.812,61.125,63.5
08-11-2026 15:27:49,7156,7607,617,16384,21.833333333333332,99.0,17889,VDD_IN,30595,7169,8666,15740,17889,3613,4040,9.0,4.0,12.0,13.0,1.0,92.0,62.218,63.406,61.75,60.875,61.125,63.406
08-11-2026 15:27:50,7157,7607,617,16384,26.333333333333332,98.0,18595,VDD_IN,31694,7219,9111,15813,18595,3623,3988,5.0,1.0,8.0,51.0,1.0,92.0,62.5,63.531,61.843,60.937,61.187,63.531
08-11-2026 15:27:51,7156,7607,617,16384,23.166666666666668,98.0,17968,VDD_IN,30785,7260,8862,15867,17968,3631,3955,26.0,2.0,6.0,19.0,0.0,86.0,62.093,63.656,61.937,61.093,61.187,63.656
08-11-2026 15:27:52,7157,7607,617,16384,15.333333333333334,98.0,18125,VDD_IN,30903,7295,8705,15922,18125,3642,4073,2.0,4.0,1.0,2.0,0.0,83.0,62.156,63.437,61.968,60.875,61.281,63.437
08-11-2026 15:27:53,7155,7607,617,16384,15.833333333333334,98.0,17840,VDD_IN,30546,7329,8705,15968,17840,3650,4001,5.0,1.0,3.0,1.0,0.0,85.0,62.25,63.5,61.906,60.937,61.312,63.5
08-11-2026 15:27:54,7157,7607,616,16384,19.833333333333332,98.0,18242,VDD_IN,30996,7360,8681,16021,18242,3660,4073,21.0,6.0,3.0,7.0,1.0,81.0,62.531,63.437,61.906,61.0,61.406,63.437
08-11-2026 15:27:55,7158,7607,616,16384,15.166666666666666,99.0,17761,VDD_IN,30195,7383,8354,16060,17761,3670,4080,4.0,1.0,2.0,1.0,0.0,83.0,62.312,63.531,62.031,61.156,61.375,63.531
08-11-2026 15:27:56,7159,7607,616,16384,26.833333333333332,98.0,18399,VDD_IN,31231,7412,8720,16112,18399,3680,4112,7.0,5.0,60.0,3.0,0.0,86.0,62.375,63.843,62.125,61.187,61.531,63.843
08-11-2026 15:27:57,7160,7607,616,16384,21.166666666666668,98.0,17929,VDD_IN,30395,7431,8276,16152,17929,3691,4190,4.0,3.0,14.0,21.0,0.0,85.0,62.375,63.781,62.156,61.062,61.375,63.781
08-11-2026 15:27:58,7160,7607,616,16384,17.0,98.0,17850,VDD_IN,30200,7446,8120,16188,17850,3702,4230,3.0,8.0,4.0,1.0,0.0,86.0,62.437,63.75,62.062,61.218,61.343,63.75
08-11-2026 15:27:59,7162,7607,616,16384,17.333333333333332,98.0,18007,VDD_IN,30318,7457,7964,16226,18007,3716,4347,4.0,5.0,6.0,4.0,0.0,85.0,62.781,63.781,62.125,61.312,61.406,63.781
08-11-2026 15:28:00,7162,7607,616,16384,19.333333333333332,99.0,17761,VDD_IN,30040,7467,7964,16257,17761,3728,4315,8.0,4.0,6.0,12.0,1.0,85.0,62.593,63.375,62.187,61.343,61.593,63.375
08-11-2026 15:28:01,7163,7607,616,16384,16.333333333333332,99.0,17811,VDD_IN,30355,7485,8393,16288,17811,3736,4151,1.0,2.0,6.0,2.0,0.0,87.0,62.656,63.687,62.187,61.218,61.593,63.687
08-11-2026 15:28:02,7163,7607,616,16384,28.5,99.0,18282,VDD_IN,31334,7514,8940,16327,18282,3744,4112,8.0,7.0,67.0,5.0,0.0,84.0,62.625,63.937,62.125,61.25,61.656,63.937
08-11-2026 15:28:03,7165,7607,616,16384,21.0,99.0,17968,VDD_IN,30551,7533,8510,16359,17968,3750,4073,17.0,5.0,3.0,7.0,2.0,92.0,62.5,63.687,62.281,61.343,61.625,63.687
08-11-2026 15:28:04,7165,7607,616,16384,16.166666666666668,99.0,17850,VDD_IN,30556,7555,8705,16387,17850,3755,4001,1.0,1.0,2.0,1.0,1.0,91.0,62.781,63.968,62.406,61.406,61.656,63.968
08-11-2026 15:28:05,7167,7607,616,16384,20.833333333333332,98.0,18203,VDD_IN,31021,7578,8784,16421,18203,3760,4034,11.0,16.0,4.0,4.0,2.0,88.0,62.468,64.0,62.406,61.5,61.718,64.25
08-11-2026 15:28:06,7167,7607,616,16384,15.833333333333334,99.0,17840,VDD_IN,30500,7598,8705,16447,17840,3763,3955,3.0,2.0,2.0,2.0,1.0,85.0,62.593,64.218,62.5,61.375,61.625,64.218
