tag,model,size,flush,phase,speculative,q_thr,margin_thr,brave,fastq,real_s,cpu_s,peak_ram_gb,drafted,repaired,alpha,draft_s,repair_s,log
baseline,fast,1k,64,time,no,,,no,,9.827,4.058,2.552,,,,,,1k_baseline_time.log
baseline,fast,1k,64,keep,no,,,no,output_fast_1k_baseline.fastq,9.834,4.151,2.559,,,,,,1k_baseline_keep.log
q5_m2,fast,1k,64,time,yes,5,2,no,,9.592,4.316,2.770,5100,1103,0.784,0.096,5.305,1k_q5_m2_time.log
q5_m2,fast,1k,64,keep,yes,5,2,no,output_fast_1k_q5_m2.fastq,9.620,4.373,2.771,5100,1103,0.784,0.094,5.294,1k_q5_m2_keep.log
q8_m2,fast,1k,64,time,yes,8,2,no,,9.568,4.285,2.736,5100,1171,0.770,0.098,5.336,1k_q8_m2_time.log
q8_m2,fast,1k,64,keep,yes,8,2,no,output_fast_1k_q8_m2.fastq,9.729,4.369,2.729,5100,1171,0.770,0.105,5.337,1k_q8_m2_keep.log
q10_m2,fast,1k,64,time,yes,10,2,no,,9.794,4.341,2.737,5100,1220,0.761,0.104,5.342,1k_q10_m2_time.log
q10_m2,fast,1k,64,keep,yes,10,2,no,output_fast_1k_q10_m2.fastq,9.744,4.349,2.732,5100,1220,0.761,0.090,5.315,1k_q10_m2_keep.log
q12_m2,fast,1k,64,time,yes,12,2,no,,9.732,4.294,2.743,5100,1267,0.752,0.097,5.338,1k_q12_m2_time.log
q12_m2,fast,1k,64,keep,yes,12,2,no,output_fast_1k_q12_m2.fastq,9.674,4.310,2.744,5100,1267,0.752,0.105,5.419,1k_q12_m2_keep.log
q10_m2_brave,fast,1k,64,time,yes,10,2,yes,,9.033,4.315,2.737,5100,1230,0.759,0.093,3.868,1k_q10_m2_brave_time.log
q10_m2_brave,fast,1k,64,keep,yes,10,2,yes,output_fast_1k_q10_m2_brave.fastq,9.056,4.324,2.732,5100,1230,0.759,0.096,3.906,1k_q10_m2_brave_keep.log
q10_m3_brave,fast,1k,64,time,yes,10,3,yes,,10.530,4.282,2.683,5100,4627,0.093,0.095,0.519,1k_q10_m3_brave_time.log
q10_m3_brave,fast,1k,64,keep,yes,10,3,yes,output_fast_1k_q10_m3_brave.fastq,10.613,4.284,2.677,5100,4627,0.093,0.116,0.435,1k_q10_m3_brave_keep.log
q10_m3,fast,1k,64,time,yes,10,3,no,,11.032,4.286,2.680,5100,4627,0.093,0.109,5.611,1k_q10_m3_time.log
q10_m3,fast,1k,64,keep,yes,10,3,no,output_fast_1k_q10_m3.fastq,11.013,4.282,2.675,5100,4627,0.093,0.105,5.575,1k_q10_m3_keep.log
baseline,fast,20k,64,time,no,,,no,,174.065,44.421,4.478,,,,,,20k_baseline_time.log
baseline,fast,20k,64,keep,no,,,no,output_fast_20k_baseline.fastq,172.361,44.084,4.476,,,,,,20k_baseline_keep.log
q5_m2,fast,20k,64,time,yes,5,2,no,,168.828,45.599,4.854,102089,24623,0.759,0.464,101.108,20k_q5_m2_time.log
q5_m2,fast,20k,64,keep,yes,5,2,no,output_fast_20k_q5_m2.fastq,168.800,46.029,4.851,102089,24623,0.759,0.470,101.551,20k_q5_m2_keep.log
q8_m2,fast,20k,64,time,yes,8,2,no,,169.550,45.549,4.834,102089,26447,0.741,0.471,101.226,20k_q8_m2_time.log
q8_m2,fast,20k,64,keep,yes,8,2,no,output_fast_20k_q8_m2.fastq,168.593,45.532,4.762,102089,26447,0.741,0.476,102.497,20k_q8_m2_keep.log
q10_m2,fast,20k,64,time,yes,10,2,no,,169.719,45.376,4.839,102089,27518,0.730,0.474,101.230,20k_q10_m2_time.log
q10_m2,fast,20k,64,keep,yes,10,2,no,output_fast_20k_q10_m2.fastq,170.003,45.729,4.896,102089,27518,0.730,0.471,101.405,20k_q10_m2_keep.log
q12_m2,fast,20k,64,time,yes,12,2,no,,168.809,45.751,4.816,102089,28400,0.722,0.479,103.583,20k_q12_m2_time.log
q12_m2,fast,20k,64,keep,yes,12,2,no,output_fast_20k_q12_m2.fastq,169.941,45.654,4.890,102089,28400,0.722,0.475,102.312,20k_q12_m2_keep.log
q10_m2_brave,fast,20k,64,time,yes,10,2,yes,,157.768,45.568,4.777,102089,27538,0.730,0.483,51.997,20k_q10_m2_brave_time.log
q10_m2_brave,fast,20k,64,keep,yes,10,2,yes,output_fast_20k_q10_m2_brave.fastq,158.519,46.136,4.899,102089,27538,0.730,0.482,48.296,20k_q10_m2_brave_keep.log
q10_m3_brave,fast,20k,64,time,yes,10,3,yes,,188.323,45.846,4.718,102089,95005,0.069,0.472,1.981,20k_q10_m3_brave_time.log
q10_m3_brave,fast,20k,64,keep,yes,10,3,yes,output_fast_20k_q10_m3_brave.fastq,188.437,46.677,4.699,102089,95005,0.069,0.483,2.061,20k_q10_m3_brave_keep.log
q10_m3,fast,20k,64,time,yes,10,3,no,,197.333,45.901,4.660,102089,95009,0.069,0.499,110.035,20k_q10_m3_time.log
q10_m3,fast,20k,64,keep,yes,10,3,no,output_fast_20k_q10_m3.fastq,197.786,46.884,4.720,102089,95009,0.069,0.497,110.154,20k_q10_m3_keep.log
