timestamp,stamp,fastq,tag,model,size,speculative,q_thr,margin_thr,brave,real_s_time,real_s_keep,alpha,repaired,drafted,n_reads,n_alignments,median_identity,map_pct,delta_vs_baseline
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_baseline.fastq,baseline,fast,1k,no,,,no,9.827,9.834,,,,1000,1030,0.940772,103.00,
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_q10_m2.fastq,q10_m2,fast,1k,yes,10,2,no,9.794,9.744,0.761,1220,5100,1000,1031,0.935347,103.10,-0.005425
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_q10_m2_brave.fastq,q10_m2_brave,fast,1k,yes,10,2,yes,9.033,9.056,0.759,1230,5100,1000,1032,0.935274,103.20,-0.005498
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_q10_m3.fastq,q10_m3,fast,1k,yes,10,3,no,11.032,11.013,0.093,4627,5100,1000,1030,0.940565,103.00,-0.000208
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_q10_m3_brave.fastq,q10_m3_brave,fast,1k,yes,10,3,yes,10.530,10.613,0.093,4627,5100,1000,1034,0.940565,103.40,-0.000208
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_q12_m2.fastq,q12_m2,fast,1k,yes,12,2,no,9.732,9.674,0.752,1267,5100,1000,1031,0.935347,103.10,-0.005425
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_q5_m2.fastq,q5_m2,fast,1k,yes,5,2,no,9.592,9.620,0.784,1103,5100,1000,1025,0.935700,102.50,-0.005072
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_1k_q8_m2.fastq,q8_m2,fast,1k,yes,8,2,no,9.568,9.729,0.770,1171,5100,1000,1028,0.935484,102.80,-0.005288
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_baseline.fastq,baseline,fast,20k,no,,,no,174.065,172.361,,,,20000,20727,0.939375,103.64,
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_q10_m2.fastq,q10_m2,fast,20k,yes,10,2,no,169.719,170.003,0.730,27518,102089,20000,20713,0.934853,103.56,-0.004522
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_q10_m2_brave.fastq,q10_m2_brave,fast,20k,yes,10,2,yes,157.768,158.519,0.730,27538,102089,20000,20719,0.934857,103.59,-0.004518
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_q10_m3.fastq,q10_m3,fast,20k,yes,10,3,no,197.333,197.786,0.069,95009,102089,20000,20716,0.939068,103.58,-0.000307
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_q10_m3_brave.fastq,q10_m3_brave,fast,20k,yes,10,3,yes,188.323,188.437,0.069,95005,102089,20000,20721,0.939051,103.61,-0.000324
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_q12_m2.fastq,q12_m2,fast,20k,yes,12,2,no,168.809,169.941,0.722,28400,102089,20000,20712,0.934843,103.56,-0.004532
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_q5_m2.fastq,q5_m2,fast,20k,yes,5,2,no,168.828,168.800,0.759,24623,102089,20000,20656,0.934974,103.28,-0.004401
2026-08-02T12:00:41Z,20260802T110631Z,output_fast_20k_q8_m2.fastq,q8_m2,fast,20k,yes,8,2,no,169.550,168.593,0.741,26447,102089,20000,20686,0.934914,103.43,-0.004461
